Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;726040
Zonas Estadísticas;01;Municipio de Madrid ;475240
Zonas Estadísticas;02;Norte Metropolitano ;30100
Zonas Estadísticas;03;Este Metropolitano  ;45190
Zonas Estadísticas;04;Sur Metropolitano   ;95351
Zonas Estadísticas;05;Oeste Metropolitano ;41283
Zonas Estadísticas;06;Sierra Norte        ;3748
Zonas Estadísticas;07;Nordeste Comunidad  ;2933
Zonas Estadísticas;08;Sudeste Comunidad   ;5857
Zonas Estadísticas;09;Sudoeste Comunidad  ;9141
Zonas Estadísticas;10;Sierra Sur          ;2715
Zonas Estadísticas;11;Sierra Central      ;14482
Municipios;0014;Acebeda (La);25
Municipios;0029;Ajalvir;234
Municipios;0035;Alameda del Valle;9
Municipios;0040;Alamo (El);645
Municipios;0053;Alcalá de Henares;19215
Municipios;0066;Alcobendas;12470
Municipios;0072;Alcorcón;13110
Municipios;0088;Aldea del Fresno;236
Municipios;0091;Algete;1026
Municipios;0105;Alpedrete;798
Municipios;0112;Ambite;41
Municipios;0127;Anchuelo;87
Municipios;0133;Aranjuez;6001
Municipios;0148;Arganda del Rey;5655
Municipios;0151;Arroyomolinos;1694
Municipios;0164;Atazar (El);6
Municipios;0170;Batres;101
Municipios;0186;Becerril de la Sierra;219
Municipios;0199;Belmonte de Tajo;107
Municipios;0210;Berrueco (El);159
Municipios;0203;Berzosa del Lozoya;14
Municipios;0225;Boadilla del Monte;3959
Municipios;0231;Boalo (El);491
Municipios;0246;Braojos;24
Municipios;0259;Brea de Tajo;64
Municipios;0262;Brunete;605
Municipios;0278;Buitrago del Lozoya;474
Municipios;0284;Bustarviejo;88
Municipios;0297;Cabanillas de la Sierra;59
Municipios;0301;Cabrera (La);298
Municipios;0318;Cadalso de los Vidrios;273
Municipios;0323;Camarma de Esteruelas;242
Municipios;0339;Campo Real;264
Municipios;0344;Canencia;30
Municipios;0357;Carabaña;152
Municipios;0360;Casarrubuelos;216
Municipios;0376;Cenicientos;173
Municipios;0382;Cercedilla;884
Municipios;0395;Cervera de Buitrago;13
Municipios;0513;Chapinería;167
Municipios;0528;Chinchón;297
Municipios;0409;Ciempozuelos;2440
Municipios;0416;Cobeña;415
Municipios;0468;Collado Mediano;419
Municipios;0474;Collado Villalba;4544
Municipios;0455;Colmenar Viejo;6713
Municipios;0437;Colmenar de Oreja;285
Municipios;0421;Colmenar del Arroyo;63
Municipios;0442;Colmenarejo;1898
Municipios;0480;Corpa;49
Municipios;0493;Coslada;5802
Municipios;0506;Cubas de la Sagra;391
Municipios;0534;Daganzo de Arriba;385
Municipios;0549;Escorial (El);1664
Municipios;0552;Estremera;754
Municipios;0565;Fresnedillas de la Oliva;90
Municipios;0571;Fresno de Torote;94
Municipios;0587;Fuenlabrada;12248
Municipios;0590;Fuente el Saz de Jarama;253
Municipios;0604;Fuentidueña de Tajo;106
Municipios;0611;Galapagar;1591
Municipios;0626;Garganta de los Montes;30
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;39
Municipios;0647;Gascones;22
Municipios;0650;Getafe;13789
Municipios;0663;Griñón;754
Municipios;0679;Guadalix de la Sierra;379
Municipios;0685;Guadarrama;1220
Municipios;0698;Hiruela (La);29
Municipios;0702;Horcajo de la Sierra-Aoslos;26
Municipios;0719;Horcajuelo de la Sierra;39
Municipios;0724;Hoyo de Manzanares;356
Municipios;0730;Humanes de Madrid;1044
Municipios;0745;Leganés;12066
Municipios;0758;Loeches;361
Municipios;0761;Lozoya;41
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;158
Municipios;0783;Madarcos;21
Municipios;0796;Madrid;475240
Municipios;0800;Majadahonda;5518
Municipios;0822;Manzanares el Real;388
Municipios;0838;Meco;696
Municipios;0843;Mejorada del Campo;762
Municipios;0856;Miraflores de la Sierra;256
Municipios;0869;Molar (El);364
Municipios;0875;Molinos (Los);252
Municipios;0881;Montejo de la Sierra;142
Municipios;0894;Moraleja de Enmedio;266
Municipios;0908;Moralzarzal;792
Municipios;0915;Morata de Tajuña;387
Municipios;0920;Móstoles;13661
Municipios;0936;Navacerrada;99
Municipios;0941;Navalafuente;54
Municipios;0954;Navalagamella;147
Municipios;0967;Navalcarnero;2376
Municipios;0973;Navarredonda y San Mamés;22
Municipios;0992;Navas del Rey;179
Municipios;1006;Nuevo Baztán;255
Municipios;1013;Olmeda de las Fuentes;16
Municipios;1028;Orusco de Tajuña;172
Municipios;1049;Paracuellos de Jarama;1314
Municipios;1065;Parla;5469
Municipios;1071;Patones;41
Municipios;1087;Pedrezuela;302
Municipios;1090;Pelayos de la Presa;212
Municipios;1104;Perales de Tajuña;123
Municipios;1111;Pezuela de las Torres;55
