Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;183475
Zonas Estadísticas;01;Municipio de Madrid ;88785
Zonas Estadísticas;02;Norte Metropolitano ;11508
Zonas Estadísticas;03;Este Metropolitano  ;20824
Zonas Estadísticas;04;Sur Metropolitano   ;35432
Zonas Estadísticas;05;Oeste Metropolitano ;10393
Zonas Estadísticas;06;Sierra Norte        ;1305
Zonas Estadísticas;07;Nordeste Comunidad  ;1782
Zonas Estadísticas;08;Sudeste Comunidad   ;2809
Zonas Estadísticas;09;Sudoeste Comunidad  ;5643
Zonas Estadísticas;10;Sierra Sur          ;1189
Zonas Estadísticas;11;Sierra Central      ;3805
Municipios;0014;Acebeda (La);1
Municipios;0029;Ajalvir;289
Municipios;0035;Alameda del Valle;3
Municipios;0040;Alamo (El);238
Municipios;0053;Alcalá de Henares;5256
Municipios;0066;Alcobendas;5128
Municipios;0072;Alcorcón;4744
Municipios;0088;Aldea del Fresno;65
Municipios;0091;Algete;685
Municipios;0105;Alpedrete;315
Municipios;0112;Ambite;8
Municipios;0127;Anchuelo;25
Municipios;0133;Aranjuez;709
Municipios;0148;Arganda del Rey;2816
Municipios;0151;Arroyomolinos;1415
Municipios;0164;Atazar (El);4
Municipios;0170;Batres;35
Municipios;0186;Becerril de la Sierra;164
Municipios;0199;Belmonte de Tajo;26
Municipios;0210;Berrueco (El);30
Municipios;0203;Berzosa del Lozoya;8
Municipios;0225;Boadilla del Monte;1138
Municipios;0231;Boalo (El);230
Municipios;0246;Braojos;10
Municipios;0259;Brea de Tajo;5
Municipios;0262;Brunete;262
Municipios;0278;Buitrago del Lozoya;47
Municipios;0284;Bustarviejo;36
Municipios;0297;Cabanillas de la Sierra;25
Municipios;0301;Cabrera (La);79
Municipios;0318;Cadalso de los Vidrios;91
Municipios;0323;Camarma de Esteruelas;260
Municipios;0339;Campo Real;202
Municipios;0344;Canencia;30
Municipios;0357;Carabaña;59
Municipios;0360;Casarrubuelos;204
Municipios;0376;Cenicientos;52
Municipios;0382;Cercedilla;156
Municipios;0395;Cervera de Buitrago;0
Municipios;0513;Chapinería;81
Municipios;0528;Chinchón;72
Municipios;0409;Ciempozuelos;625
Municipios;0416;Cobeña;93
Municipios;0468;Collado Mediano;245
Municipios;0474;Collado Villalba;1092
Municipios;0455;Colmenar Viejo;1228
Municipios;0437;Colmenar de Oreja;315
Municipios;0421;Colmenar del Arroyo;41
Municipios;0442;Colmenarejo;189
Municipios;0480;Corpa;1
Municipios;0493;Coslada;3437
Municipios;0506;Cubas de la Sagra;218
Municipios;0534;Daganzo de Arriba;295
Municipios;0549;Escorial (El);225
Municipios;0552;Estremera;38
Municipios;0565;Fresnedillas de la Oliva;29
Municipios;0571;Fresno de Torote;55
Municipios;0587;Fuenlabrada;5160
Municipios;0590;Fuente el Saz de Jarama;242
Municipios;0604;Fuentidueña de Tajo;31
Municipios;0611;Galapagar;826
Municipios;0626;Garganta de los Montes;16
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;5
Municipios;0647;Gascones;6
Municipios;0650;Getafe;5706
Municipios;0663;Griñón;750
Municipios;0679;Guadalix de la Sierra;151
Municipios;0685;Guadarrama;437
Municipios;0698;Hiruela (La);0
Municipios;0702;Horcajo de la Sierra-Aoslos;6
Municipios;0719;Horcajuelo de la Sierra;9
Municipios;0724;Hoyo de Manzanares;111
Municipios;0730;Humanes de Madrid;2433
Municipios;0745;Leganés;5613
Municipios;0758;Loeches;371
Municipios;0761;Lozoya;12
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;42
Municipios;0783;Madarcos;0
Municipios;0796;Madrid;88785
Municipios;0800;Majadahonda;1257
Municipios;0822;Manzanares el Real;178
Municipios;0838;Meco;415
Municipios;0843;Mejorada del Campo;1035
Municipios;0856;Miraflores de la Sierra;138
Municipios;0869;Molar (El);173
Municipios;0875;Molinos (Los);111
Municipios;0881;Montejo de la Sierra;6
Municipios;0894;Moraleja de Enmedio;404
Municipios;0908;Moralzarzal;247
Municipios;0915;Morata de Tajuña;171
Municipios;0920;Móstoles;4023
Municipios;0936;Navacerrada;65
Municipios;0941;Navalafuente;17
Municipios;0954;Navalagamella;25
Municipios;0967;Navalcarnero;932
Municipios;0973;Navarredonda y San Mamés;2
Municipios;0992;Navas del Rey;138
Municipios;1006;Nuevo Baztán;244
Municipios;1013;Olmeda de las Fuentes;19
Municipios;1028;Orusco de Tajuña;14
Municipios;1049;Paracuellos de Jarama;481
Municipios;1065;Parla;2285
Municipios;1071;Patones;12
Municipios;1087;Pedrezuela;143
Municipios;1090;Pelayos de la Presa;70
Municipios;1104;Perales de Tajuña;85
Municipios;1111;Pezuela de las Torres;12
Municipios;1126;Pinilla del Valle;1
Municipios;1132;Pinto;1495
Municipios;1147;Piñuécar-Gandullas;3
Municipios;1150;Pozuelo de Alarcón;2073
Municipios;1163;Pozuelo del Rey;32
Municipios;1179;Prádena del Rincón;16
Municipios;1185;Puebla de la Sierra;0
Municipios;9020;Puentes Viejas;17
Municipios;1198;Quijorna;53
Municipios;1202;Rascafría;50
Municipios;1219;Redueña;4
Municipios;1224;Ribatejada;14
Municipios;1230;Rivas-Vaciamadrid;2905
Municipios;1245;Robledillo de la Jara;0
Municipios;1258;Robledo de Chavela;132
Municipios;1261;Robregordo;0
Municipios;1277;Rozas de Madrid (Las);2255
Municipios;1283;Rozas de Puerto Real;7
Municipios;1296;San Agustín del Guadalix;191
Municipios;1300;San Fernando de Henares;1657
Municipios;1317;San Lorenzo de El Escorial;245
Municipios;1338;San Martín de Valdeiglesias;313
Municipios;1322;San Martín de la Vega;507
Municipios;1343;San Sebastián de los Reyes;2796
Municipios;1356;Santa María de la Alameda;60
Municipios;1369;Santorcaz;16
Municipios;1375;Santos de la Humosa (Los);51
Municipios;1381;Serna del Monte (La);0
Municipios;1408;Serranillos del Valle;179
Municipios;1415;Sevilla la Nueva;195
Municipios;1436;Somosierra;0
Municipios;1441;Soto del Real;157
Municipios;1454;Talamanca de Jarama;65
Municipios;1467;Tielmes;49
Municipios;1473;Titulcia;47
Municipios;1489;Torrejón de Ardoz;2535
Municipios;1505;Torrejón de Velasco;128
Municipios;1492;Torrejón de la Calzada;407
Municipios;1512;Torrelaguna;84
Municipios;1527;Torrelodones;319
Municipios;1533;Torremocha de Jarama;310
Municipios;1548;Torres de la Alameda;242
Municipios;9036;Tres Cantos;1387
Municipios;1551;Valdaracete;6
Municipios;1564;Valdeavero;45
Municipios;1570;Valdelaguna;21
Municipios;1586;Valdemanco;39
Municipios;1599;Valdemaqueda;52
Municipios;1603;Valdemorillo;244
Municipios;1610;Valdemoro;2132
Municipios;1625;Valdeolmos-Alalpardo;76
Municipios;1631;Valdepiélagos;8
Municipios;1646;Valdetorres de Jarama;134
Municipios;1659;Valdilecha;60
Municipios;1662;Valverde de Alcalá;4
Municipios;1678;Velilla de San Antonio;413
Municipios;1684;Vellón (El);36
Municipios;1697;Venturada;35
Municipios;1718;Villa del Prado;201
Municipios;1701;Villaconejos;44
Municipios;1723;Villalbilla;245
Municipios;1739;Villamanrique de Tajo;13
Municipios;1744;Villamanta;124
Municipios;1757;Villamantilla;31
Municipios;1782;Villanueva de Perales;64
Municipios;1760;Villanueva de la Cañada;396
Municipios;1776;Villanueva del Pardillo;459
Municipios;1795;Villar del Olmo;56
Municipios;1809;Villarejo de Salvanés;225
Municipios;1816;Villaviciosa de Odón;664
Municipios;1821;Villavieja del Lozoya;10
Municipios;1837;Zarzalejo;98
