Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;90388
Zonas Estadísticas;01;Municipio de Madrid ;25438
Zonas Estadísticas;02;Norte Metropolitano ;11523
Zonas Estadísticas;03;Este Metropolitano  ;18570
Zonas Estadísticas;04;Sur Metropolitano   ;25898
Zonas Estadísticas;05;Oeste Metropolitano ;1647
Zonas Estadísticas;06;Sierra Norte        ;150
Zonas Estadísticas;07;Nordeste Comunidad  ;1730
Zonas Estadísticas;08;Sudeste Comunidad   ;2428
Zonas Estadísticas;09;Sudoeste Comunidad  ;2083
Zonas Estadísticas;10;Sierra Sur          ;69
Zonas Estadísticas;11;Sierra Central      ;852
Municipios;0014;Acebeda (La);4
Municipios;0029;Ajalvir;1392
Municipios;0035;Alameda del Valle;0
Municipios;0040;Alamo (El);35
Municipios;0053;Alcalá de Henares;5363
Municipios;0066;Alcobendas;3806
Municipios;0072;Alcorcón;1924
Municipios;0088;Aldea del Fresno;2
Municipios;0091;Algete;628
Municipios;0105;Alpedrete;61
Municipios;0112;Ambite;1
Municipios;0127;Anchuelo;1
Municipios;0133;Aranjuez;710
Municipios;0148;Arganda del Rey;4078
Municipios;0151;Arroyomolinos;124
Municipios;0164;Atazar (El);0
Municipios;0170;Batres;2
Municipios;0186;Becerril de la Sierra;8
Municipios;0199;Belmonte de Tajo;2
Municipios;0210;Berrueco (El);0
Municipios;0203;Berzosa del Lozoya;0
Municipios;0225;Boadilla del Monte;151
Municipios;0231;Boalo (El);58
Municipios;0246;Braojos;0
Municipios;0259;Brea de Tajo;0
Municipios;0262;Brunete;28
Municipios;0278;Buitrago del Lozoya;1
Municipios;0284;Bustarviejo;3
Municipios;0297;Cabanillas de la Sierra;0
Municipios;0301;Cabrera (La);2
Municipios;0318;Cadalso de los Vidrios;8
Municipios;0323;Camarma de Esteruelas;406
Municipios;0339;Campo Real;225
Municipios;0344;Canencia;1
Municipios;0357;Carabaña;8
Municipios;0360;Casarrubuelos;153
Municipios;0376;Cenicientos;1
Municipios;0382;Cercedilla;14
Municipios;0395;Cervera de Buitrago;0
Municipios;0513;Chapinería;13
Municipios;0528;Chinchón;20
Municipios;0409;Ciempozuelos;207
Municipios;0416;Cobeña;128
Municipios;0468;Collado Mediano;22
Municipios;0474;Collado Villalba;189
Municipios;0455;Colmenar Viejo;1053
Municipios;0437;Colmenar de Oreja;31
Municipios;0421;Colmenar del Arroyo;4
Municipios;0442;Colmenarejo;120
Municipios;0480;Corpa;1
Municipios;0493;Coslada;1079
Municipios;0506;Cubas de la Sagra;195
Municipios;0534;Daganzo de Arriba;99
Municipios;0549;Escorial (El);23
Municipios;0552;Estremera;0
Municipios;0565;Fresnedillas de la Oliva;0
Municipios;0571;Fresno de Torote;12
Municipios;0587;Fuenlabrada;3805
Municipios;0590;Fuente el Saz de Jarama;105
Municipios;0604;Fuentidueña de Tajo;9
Municipios;0611;Galapagar;48
Municipios;0626;Garganta de los Montes;16
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0
Municipios;0647;Gascones;0
Municipios;0650;Getafe;9788
Municipios;0663;Griñón;563
Municipios;0679;Guadalix de la Sierra;26
Municipios;0685;Guadarrama;17
Municipios;0698;Hiruela (La);0
Municipios;0702;Horcajo de la Sierra-Aoslos;0
Municipios;0719;Horcajuelo de la Sierra;0
Municipios;0724;Hoyo de Manzanares;8
Municipios;0730;Humanes de Madrid;1745
Municipios;0745;Leganés;1762
Municipios;0758;Loeches;1010
Municipios;0761;Lozoya;8
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;5
Municipios;0783;Madarcos;0
Municipios;0796;Madrid;25438
