Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;177940
Zonas Estadísticas;01;Municipio de Madrid ;109317
Zonas Estadísticas;02;Norte Metropolitano ;5919
Zonas Estadísticas;03;Este Metropolitano  ;21852
Zonas Estadísticas;04;Sur Metropolitano   ;26314
Zonas Estadísticas;05;Oeste Metropolitano ;4310
Zonas Estadísticas;06;Sierra Norte        ;607
Zonas Estadísticas;07;Nordeste Comunidad  ;3684
Zonas Estadísticas;08;Sudeste Comunidad   ;2063
Zonas Estadísticas;09;Sudoeste Comunidad  ;2354
Zonas Estadísticas;10;Sierra Sur          ;274
Zonas Estadísticas;11;Sierra Central      ;1246
Municipios;0014;Acebeda (La);0
Municipios;0029;Ajalvir;165
Municipios;0035;Alameda del Valle;0
Municipios;0040;Alamo (El);106
Municipios;0053;Alcalá de Henares;3682
Municipios;0066;Alcobendas;2647
Municipios;0072;Alcorcón;2168
Municipios;0088;Aldea del Fresno;10
Municipios;0091;Algete;596
Municipios;0105;Alpedrete;76
Municipios;0112;Ambite;4
Municipios;0127;Anchuelo;18
Municipios;0133;Aranjuez;828
Municipios;0148;Arganda del Rey;1059
Municipios;0151;Arroyomolinos;539
Municipios;0164;Atazar (El);0
Municipios;0170;Batres;38
Municipios;0186;Becerril de la Sierra;35
Municipios;0199;Belmonte de Tajo;19
Municipios;0210;Berrueco (El);2
Municipios;0203;Berzosa del Lozoya;0
Municipios;0225;Boadilla del Monte;617
Municipios;0231;Boalo (El);52
Municipios;0246;Braojos;13
Municipios;0259;Brea de Tajo;6
Municipios;0262;Brunete;110
Municipios;0278;Buitrago del Lozoya;17
Municipios;0284;Bustarviejo;13
Municipios;0297;Cabanillas de la Sierra;5
Municipios;0301;Cabrera (La);19
Municipios;0318;Cadalso de los Vidrios;17
Municipios;0323;Camarma de Esteruelas;420
Municipios;0339;Campo Real;136
Municipios;0344;Canencia;2
Municipios;0357;Carabaña;23
Municipios;0360;Casarrubuelos;48
Municipios;0376;Cenicientos;12
Municipios;0382;Cercedilla;52
Municipios;0395;Cervera de Buitrago;2
Municipios;0513;Chapinería;16
Municipios;0528;Chinchón;39
Municipios;0409;Ciempozuelos;1262
Municipios;0416;Cobeña;171
Municipios;0468;Collado Mediano;56
Municipios;0474;Collado Villalba;747
Municipios;0455;Colmenar Viejo;323
Municipios;0437;Colmenar de Oreja;53
Municipios;0421;Colmenar del Arroyo;69
Municipios;0442;Colmenarejo;212
Municipios;0480;Corpa;6
Municipios;0493;Coslada;7039
Municipios;0506;Cubas de la Sagra;108
Municipios;0534;Daganzo de Arriba;373
Municipios;0549;Escorial (El);63
Municipios;0552;Estremera;97
Municipios;0565;Fresnedillas de la Oliva;10
Municipios;0571;Fresno de Torote;19
Municipios;0587;Fuenlabrada;2824
Municipios;0590;Fuente el Saz de Jarama;67
Municipios;0604;Fuentidueña de Tajo;32
Municipios;0611;Galapagar;200
Municipios;0626;Garganta de los Montes;1
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0
Municipios;0647;Gascones;20
Municipios;0650;Getafe;6762
Municipios;0663;Griñón;225
Municipios;0679;Guadalix de la Sierra;32
Municipios;0685;Guadarrama;100
Municipios;0698;Hiruela (La);0
Municipios;0702;Horcajo de la Sierra-Aoslos;1
Municipios;0719;Horcajuelo de la Sierra;1
Municipios;0724;Hoyo de Manzanares;31
Municipios;0730;Humanes de Madrid;573
Municipios;0745;Leganés;3785
Municipios;0758;Loeches;438
Municipios;0761;Lozoya;5
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;59
Municipios;0783;Madarcos;1
Municipios;0796;Madrid;109317
Municipios;0800;Majadahonda;359
Municipios;0822;Manzanares el Real;43
Municipios;0838;Meco;2594
Municipios;0843;Mejorada del Campo;678
Municipios;0856;Miraflores de la Sierra;44
Municipios;0869;Molar (El);60
Municipios;0875;Molinos (Los);13
Municipios;0881;Montejo de la Sierra;0
Municipios;0894;Moraleja de Enmedio;99
Municipios;0908;Moralzarzal;169
Municipios;0915;Morata de Tajuña;118
Municipios;0920;Móstoles;2086
Municipios;0936;Navacerrada;5
Municipios;0941;Navalafuente;5
Municipios;0954;Navalagamella;23
Municipios;0967;Navalcarnero;558
Municipios;0973;Navarredonda y San Mamés;1
Municipios;0992;Navas del Rey;34
Municipios;1006;Nuevo Baztán;120
Municipios;1013;Olmeda de las Fuentes;45
Municipios;1028;Orusco de Tajuña;11
Municipios;1049;Paracuellos de Jarama;474
Municipios;1065;Parla;1292
Municipios;1071;Patones;5
Municipios;1087;Pedrezuela;32
Municipios;1090;Pelayos de la Presa;9
Municipios;1104;Perales de Tajuña;22
Municipios;1111;Pezuela de las Torres;15
Municipios;1126;Pinilla del Valle;0
Municipios;1132;Pinto;2264
Municipios;1147;Piñuécar-Gandullas;0
Municipios;1150;Pozuelo de Alarcón;941
Municipios;1163;Pozuelo del Rey;18
Municipios;1179;Prádena del Rincón;0
Municipios;1185;Puebla de la Sierra;2
Municipios;9020;Puentes Viejas;10
Municipios;1198;Quijorna;40
Municipios;1202;Rascafría;12
Municipios;1219;Redueña;104
Municipios;1224;Ribatejada;26
Municipios;1230;Rivas-Vaciamadrid;1492
Municipios;1245;Robledillo de la Jara;0
Municipios;1258;Robledo de Chavela;9
Municipios;1261;Robregordo;0
Municipios;1277;Rozas de Madrid (Las);857
Municipios;1283;Rozas de Puerto Real;20
Municipios;1296;San Agustín del Guadalix;363
Municipios;1300;San Fernando de Henares;3716
Municipios;1317;San Lorenzo de El Escorial;54
Municipios;1338;San Martín de Valdeiglesias;37
Municipios;1322;San Martín de la Vega;310
Municipios;1343;San Sebastián de los Reyes;1448
Municipios;1356;Santa María de la Alameda;16
Municipios;1369;Santorcaz;5
Municipios;1375;Santos de la Humosa (Los);36
Municipios;1381;Serna del Monte (La);4
Municipios;1408;Serranillos del Valle;91
Municipios;1415;Sevilla la Nueva;144
Municipios;1436;Somosierra;0
Municipios;1441;Soto del Real;60
Municipios;1454;Talamanca de Jarama;26
Municipios;1467;Tielmes;30
Municipios;1473;Titulcia;14
Municipios;1489;Torrejón de Ardoz;3107
Municipios;1505;Torrejón de Velasco;85
Municipios;1492;Torrejón de la Calzada;141
Municipios;1512;Torrelaguna;70
Municipios;1527;Torrelodones;106
Municipios;1533;Torremocha de Jarama;5
Municipios;1548;Torres de la Alameda;212
Municipios;9036;Tres Cantos;371
Municipios;1551;Valdaracete;1
Municipios;1564;Valdeavero;19
Municipios;1570;Valdelaguna;11
Municipios;1586;Valdemanco;8
Municipios;1599;Valdemaqueda;0
Municipios;1603;Valdemorillo;143
Municipios;1610;Valdemoro;2160
Municipios;1625;Valdeolmos-Alalpardo;39
Municipios;1631;Valdepiélagos;5
Municipios;1646;Valdetorres de Jarama;36
Municipios;1659;Valdilecha;112
Municipios;1662;Valverde de Alcalá;8
Municipios;1678;Velilla de San Antonio;440
Municipios;1684;Vellón (El);14
Municipios;1697;Venturada;142
Municipios;1718;Villa del Prado;49
Municipios;1701;Villaconejos;58
Municipios;1723;Villalbilla;196
Municipios;1739;Villamanrique de Tajo;3
Municipios;1744;Villamanta;21
Municipios;1757;Villamantilla;18
Municipios;1782;Villanueva de Perales;34
Municipios;1760;Villanueva de la Cañada;79
Municipios;1776;Villanueva del Pardillo;69
Municipios;1795;Villar del Olmo;64
Municipios;1809;Villarejo de Salvanés;93
Municipios;1816;Villaviciosa de Odón;263
Municipios;1821;Villavieja del Lozoya;0
Municipios;1837;Zarzalejo;2
