Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Ocupados. Ocupados en unidades productivas de comercio y hostelería. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Comunidad de Madrid;;Comunidad de Madrid;633823;658651;680536;702100;712439;723445;678120;716644;734444;
Zonas Estadísticas;01;Municipio de Madrid ;335155;346439;358133;370270;377518;383322;349666;373742;386774;
Zonas Estadísticas;02;Norte Metropolitano ;49582;51237;53307;53578;52739;54280;53245;54658;55695;
Zonas Estadísticas;03;Este Metropolitano  ;62207;65011;67064;68098;69485;71428;68442;70626;70402;
Zonas Estadísticas;04;Sur Metropolitano   ;111327;116346;120931;126193;128571;128795;123522;128585;130269;
Zonas Estadísticas;05;Oeste Metropolitano ;43874;46365;46928;48729;48937;49768;48198;51143;52281;
Zonas Estadísticas;06;Sierra Norte        ;2375;2490;2662;2787;2836;2927;2876;3167;3131;
Zonas Estadísticas;07;Nordeste Comunidad  ;3995;4149;4131;4221;4136;4199;4478;4538;4850;
Zonas Estadísticas;08;Sudeste Comunidad   ;5881;5594;5870;5970;6154;6160;5925;6343;6353;
Zonas Estadísticas;09;Sudoeste Comunidad  ;9319;10586;10779;11366;10806;11268;10562;12024;12734;
Zonas Estadísticas;10;Sierra Sur          ;1610;1640;1719;1753;1829;1860;1829;1909;1865;
Zonas Estadísticas;11;Sierra Central      ;8498;8794;9012;9135;9428;9438;9377;9909;10090;
Municipios;0014;Acebeda (La);13;14;12;10;13;14;10;14;13;
Municipios;0029;Ajalvir;880;851;931;881;910;877;826;857;850;
Municipios;0035;Alameda del Valle;25;20;19;24;34;51;24;21;23;
Municipios;0040;Alamo (El);393;378;387;409;397;408;438;457;484;
Municipios;0053;Alcalá de Henares;20661;21015;21187;21247;21156;21167;20316;20313;21052;
Municipios;0066;Alcobendas;24172;24927;25984;25979;25676;26793;26127;26193;26594;
Municipios;0072;Alcorcón;16153;16108;17304;17793;17948;18547;18283;18403;18673;
Municipios;0088;Aldea del Fresno;96;127;127;133;146;147;135;158;158;
