Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;6436414
Zonas Estadísticas;01;Municipio de Madrid ;4004353
Zonas Estadísticas;02;Norte Metropolitano ;412393
Zonas Estadísticas;03;Este Metropolitano  ;473837
Zonas Estadísticas;04;Sur Metropolitano   ;796908
Zonas Estadísticas;05;Oeste Metropolitano ;466848
Zonas Estadísticas;06;Sierra Norte        ;21656
Zonas Estadísticas;07;Nordeste Comunidad  ;36869
Zonas Estadísticas;08;Sudeste Comunidad   ;46713
Zonas Estadísticas;09;Sudoeste Comunidad  ;78504
Zonas Estadísticas;10;Sierra Sur          ;16236
Zonas Estadísticas;11;Sierra Central      ;82097
Municipios;0014;Acebeda (La);119
Municipios;0029;Ajalvir;8193
Municipios;0035;Alameda del Valle;174
Municipios;0040;Alamo (El);3518
Municipios;0053;Alcalá de Henares;145121
Municipios;0066;Alcobendas;196108
Municipios;0072;Alcorcón;113778
Municipios;0088;Aldea del Fresno;1170
Municipios;0091;Algete;15327
Municipios;0105;Alpedrete;5806
Municipios;0112;Ambite;199
Municipios;0127;Anchuelo;412
Municipios;0133;Aranjuez;37710
Municipios;0148;Arganda del Rey;51479
Municipios;0151;Arroyomolinos;19603
Municipios;0164;Atazar (El);47
Municipios;0170;Batres;482
Municipios;0186;Becerril de la Sierra;2172
Municipios;0199;Belmonte de Tajo;519
Municipios;0210;Berrueco (El);516
Municipios;0203;Berzosa del Lozoya;185
Municipios;0225;Boadilla del Monte;43658
Municipios;0231;Boalo (El);2892
Municipios;0246;Braojos;606
Municipios;0259;Brea de Tajo;370
Municipios;0262;Brunete;4838
Municipios;0278;Buitrago del Lozoya;1711
Municipios;0284;Bustarviejo;904
Municipios;0297;Cabanillas de la Sierra;301
Municipios;0301;Cabrera (La);1466
Municipios;0318;Cadalso de los Vidrios;1245
Municipios;0323;Camarma de Esteruelas;3882
Municipios;0339;Campo Real;2994
Municipios;0344;Canencia;204
Municipios;0357;Carabaña;632
Municipios;0360;Casarrubuelos;1510
Municipios;0376;Cenicientos;699
Municipios;0382;Cercedilla;4143
Municipios;0395;Cervera de Buitrago;68
Municipios;0513;Chapinería;837
Municipios;0528;Chinchón;2801
Municipios;0409;Ciempozuelos;21521
Municipios;0416;Cobeña;3297
Municipios;0468;Collado Mediano;2772
Municipios;0474;Collado Villalba;33572
Municipios;0455;Colmenar Viejo;33302
Municipios;0437;Colmenar de Oreja;2499
Municipios;0421;Colmenar del Arroyo;1890
Municipios;0442;Colmenarejo;6418
Municipios;0480;Corpa;172
Municipios;0493;Coslada;65242
Municipios;0506;Cubas de la Sagra;2416
Municipios;0534;Daganzo de Arriba;7455
Municipios;0549;Escorial (El);7531
Municipios;0552;Estremera;2189
Municipios;0565;Fresnedillas de la Oliva;495
Municipios;0571;Fresno de Torote;509
Municipios;0587;Fuenlabrada;104614
Municipios;0590;Fuente el Saz de Jarama;3669
Municipios;0604;Fuentidueña de Tajo;714
Municipios;0611;Galapagar;11920
Municipios;0626;Garganta de los Montes;166
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;237
Municipios;0647;Gascones;138
Municipios;0650;Getafe;148412
Municipios;0663;Griñón;10340
Municipios;0679;Guadalix de la Sierra;2237
Municipios;0685;Guadarrama;7600
Municipios;0698;Hiruela (La);94
Municipios;0702;Horcajo de la Sierra-Aoslos;121
Municipios;0719;Horcajuelo de la Sierra;106
Municipios;0724;Hoyo de Manzanares;3454
Municipios;0730;Humanes de Madrid;19249
Municipios;0745;Leganés;119301
Municipios;0758;Loeches;6513
Municipios;0761;Lozoya;345
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;932
Municipios;0783;Madarcos;56
Municipios;0796;Madrid;4004353
Municipios;0800;Majadahonda;62566
Municipios;0822;Manzanares el Real;2672
Municipios;0838;Meco;12792
Municipios;0843;Mejorada del Campo;11370
Municipios;0856;Miraflores de la Sierra;2063
Municipios;0869;Molar (El);2679
Municipios;0875;Molinos (Los);1774
Municipios;0881;Montejo de la Sierra;356
Municipios;0894;Moraleja de Enmedio;3965
Municipios;0908;Moralzarzal;5442
Municipios;0915;Morata de Tajuña;2548
Municipios;0920;Móstoles;91279
Municipios;0936;Navacerrada;1428
Municipios;0941;Navalafuente;361
Municipios;0954;Navalagamella;699
Municipios;0967;Navalcarnero;16412
Municipios;0973;Navarredonda y San Mamés;71
Municipios;0992;Navas del Rey;1169
Municipios;1006;Nuevo Baztán;2022
Municipios;1013;Olmeda de las Fuentes;232
Municipios;1028;Orusco de Tajuña;517
Municipios;1049;Paracuellos de Jarama;12666
Municipios;1065;Parla;39118
Municipios;1071;Patones;302
Municipios;1087;Pedrezuela;1905
Municipios;1090;Pelayos de la Presa;1059
Municipios;1104;Perales de Tajuña;978
Municipios;1111;Pezuela de las Torres;313
Municipios;1126;Pinilla del Valle;70
Municipios;1132;Pinto;39391
Municipios;1147;Piñuécar-Gandullas;83
Municipios;1150;Pozuelo de Alarcón;150938
Municipios;1163;Pozuelo del Rey;333
Municipios;1179;Prádena del Rincón;92
Municipios;1185;Puebla de la Sierra;32
Municipios;9020;Puentes Viejas;327
Municipios;1198;Quijorna;977
Municipios;1202;Rascafría;1068
Municipios;1219;Redueña;426
Municipios;1224;Ribatejada;336
Municipios;1230;Rivas-Vaciamadrid;51898
Municipios;1245;Robledillo de la Jara;50
Municipios;1258;Robledo de Chavela;1702
Municipios;1261;Robregordo;50
Municipios;1277;Rozas de Madrid (Las);107599
Municipios;1283;Rozas de Puerto Real;1157
Municipios;1296;San Agustín del Guadalix;7541
Municipios;1300;San Fernando de Henares;47417
Municipios;1317;San Lorenzo de El Escorial;11723
Municipios;1338;San Martín de Valdeiglesias;3841
Municipios;1322;San Martín de la Vega;9572
Municipios;1343;San Sebastián de los Reyes;85513
Municipios;1356;Santa María de la Alameda;478
Municipios;1369;Santorcaz;132
Municipios;1375;Santos de la Humosa (Los);678
Municipios;1381;Serna del Monte (La);62
Municipios;1408;Serranillos del Valle;2411
Municipios;1415;Sevilla la Nueva;3534
Municipios;1436;Somosierra;79
Municipios;1441;Soto del Real;5477
Municipios;1454;Talamanca de Jarama;1331
Municipios;1467;Tielmes;1010
Municipios;1473;Titulcia;489
Municipios;1489;Torrejón de Ardoz;74861
Municipios;1505;Torrejón de Velasco;1805
Municipios;1492;Torrejón de la Calzada;5958
Municipios;1512;Torrelaguna;2144
Municipios;1527;Torrelodones;14772
Municipios;1533;Torremocha de Jarama;919
Municipios;1548;Torres de la Alameda;5223
Municipios;9036;Tres Cantos;71305
Municipios;1551;Valdaracete;191
Municipios;1564;Valdeavero;508
Municipios;1570;Valdelaguna;249
Municipios;1586;Valdemanco;236
Municipios;1599;Valdemaqueda;232
Municipios;1603;Valdemorillo;5036
Municipios;1610;Valdemoro;52963
Municipios;1625;Valdeolmos-Alalpardo;2070
Municipios;1631;Valdepiélagos;200
Municipios;1646;Valdetorres de Jarama;1438
Municipios;1659;Valdilecha;1313
Municipios;1662;Valverde de Alcalá;84
Municipios;1678;Velilla de San Antonio;5590
Municipios;1684;Vellón (El);476
Municipios;1697;Venturada;1706
Municipios;1718;Villa del Prado;2242
Municipios;1701;Villaconejos;1118
Municipios;1723;Villalbilla;4732
Municipios;1739;Villamanrique de Tajo;288
Municipios;1744;Villamanta;1051
Municipios;1757;Villamantilla;480
Municipios;1782;Villanueva de Perales;630
Municipios;1760;Villanueva de la Cañada;13535
Municipios;1776;Villanueva del Pardillo;7148
Municipios;1795;Villar del Olmo;571
Municipios;1809;Villarejo de Salvanés;3678
Municipios;1816;Villaviciosa de Odón;19996
Municipios;1821;Villavieja del Lozoya;108
Municipios;1837;Zarzalejo;733
