Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por actividad.Total. Parados registrados en las oficinas de empleo en construcción. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;77215;82615;73684;77598;77221;67279;55916;47976;38407;32986;27960;28873;32200;25408;22702;
Zonas Estadísticas;01;Municipio de Madrid ;33438;36246;32405;33696;32651;28502;24216;20636;16945;14670;12420;12728;14505;11318;10234;
Zonas Estadísticas;02;Norte Metropolitano ;2754;2860;2642;2848;2831;2477;1962;1723;1370;1144;984;979;1095;905;786;
Zonas Estadísticas;03;Este Metropolitano  ;8850;9294;8488;9057;8982;8265;6803;5778;4573;4001;3574;3652;4156;3297;2863;
Zonas Estadísticas;04;Sur Metropolitano   ;21701;23094;20180;21206;21827;18712;15299;13092;10191;8626;7184;7499;8121;6429;5627;
Zonas Estadísticas;05;Oeste Metropolitano ;3120;3257;2841;3044;2935;2549;2162;1843;1522;1328;1144;1237;1309;1017;929;
Zonas Estadísticas;06;Sierra Norte        ;561;602;574;577;614;522;426;390;323;256;208;221;224;174;175;
Zonas Estadísticas;07;Nordeste Comunidad  ;791;791;666;709;720;650;523;424;330;295;255;289;314;257;243;
Zonas Estadísticas;08;Sudeste Comunidad   ;1655;1873;1717;1763;1933;1562;1260;1124;795;727;554;596;628;512;474;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1515;1725;1618;1818;1937;1632;1272;1109;894;716;600;622;741;578;547;
Zonas Estadísticas;10;Sierra Sur          ;848;922;829;959;915;705;603;613;478;393;277;295;310;294;241;
Zonas Estadísticas;11;Sierra Central      ;1982;1951;1724;1921;1876;1703;1390;1244;986;830;760;755;797;627;583;
Municipios;0014;Acebeda (La);0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;
Municipios;0029;Ajalvir;17;32;27;33;22;15;21;14;14;9;16;9;9;8;6;
Municipios;0035;Alameda del Valle;0;3;2;2;0;1;1;1;0;0;0;0;0;0;0;
Municipios;0040;Alamo (El);136;158;168;187;175;160;133;123;106;93;70;59;87;57;58;
Municipios;0053;Alcalá de Henares;3348;3545;3173;3313;3212;2975;2392;1978;1530;1269;1126;1149;1269;990;898;
Municipios;0066;Alcobendas;953;964;880;959;935;789;646;563;429;360;296;296;340;264;240;
Municipios;0072;Alcorcón;2232;2310;2060;2191;2266;1897;1552;1336;998;888;739;786;838;655;571;
Municipios;0088;Aldea del Fresno;67;90;65;83;69;55;50;35;34;26;23;29;32;19;21;
Municipios;0091;Algete;169;181;127;158;160;139;117;115;98;70;62;60;73;60;41;
Municipios;0105;Alpedrete;133;125;84;112;107;111;93;95;71;51;49;45;53;42;43;
Municipios;0112;Ambite;12;9;11;10;13;13;11;9;7;8;5;6;4;2;3;
Municipios;0127;Anchuelo;11;9;10;11;19;24;12;11;2;8;1;5;5;5;0;
Municipios;0133;Aranjuez;681;702;655;668;672;560;527;561;447;388;344;319;376;281;243;
Municipios;0148;Arganda del Rey;948;1110;1003;1120;1104;1011;872;764;624;605;585;607;642;534;454;
Municipios;0151;Arroyomolinos;109;145;173;212;259;225;164;143;130;97;77;87;117;91;88;
Municipios;0164;Atazar (El);0;2;1;2;2;1;1;0;1;1;0;1;0;1;1;
Municipios;0170;Batres;16;20;16;20;16;14;13;11;10;8;9;5;4;3;6;
Municipios;0186;Becerril de la Sierra;91;104;95;124;128;90;77;67;51;38;46;44;36;26;37;
Municipios;0199;Belmonte de Tajo;31;46;37;28;42;27;19;23;15;9;6;8;11;5;8;
Municipios;0210;Berrueco (El);12;6;8;11;8;5;2;5;1;2;0;1;3;4;3;
Municipios;0203;Berzosa del Lozoya;0;1;1;0;0;1;0;0;1;2;0;0;0;0;0;
Municipios;0225;Boadilla del Monte;150;147;131;145;158;144;130;105;98;79;76;66;83;64;62;
Municipios;0231;Boalo (El);91;85;71;90;92;73;73;70;50;36;35;33;28;21;17;
Municipios;0246;Braojos;2;1;1;4;3;3;0;0;1;2;2;0;0;1;0;
Municipios;0259;Brea de Tajo;10;12;12;14;14;11;7;7;5;3;2;1;0;0;0;
Municipios;0262;Brunete;92;92;83;107;111;91;74;66;54;54;46;39;50;29;30;
Municipios;0278;Buitrago del Lozoya;24;25;37;28;25;16;14;11;6;4;5;6;6;7;10;
Municipios;0284;Bustarviejo;30;38;31;28;26;22;15;19;10;11;11;14;12;6;4;
Municipios;0297;Cabanillas de la Sierra;6;4;9;5;6;8;7;3;4;2;1;1;4;4;2;
Municipios;0301;Cabrera (La);35;39;52;52;53;40;29;23;20;16;19;23;30;18;18;
Municipios;0318;Cadalso de los Vidrios;71;74;91;102;93;63;51;68;57;39;30;29;27;30;17;
Municipios;0323;Camarma de Esteruelas;87;101;77;90;78;66;62;53;34;23;27;32;33;33;25;
Municipios;0339;Campo Real;74;106;84;86;87;75;54;50;38;37;27;22;28;33;29;
Municipios;0344;Canencia;8;6;7;7;8;5;3;4;5;4;1;1;1;2;2;
Municipios;0357;Carabaña;37;44;28;46;42;38;30;30;18;26;21;18;17;15;16;
Municipios;0360;Casarrubuelos;34;36;39;44;54;51;36;35;25;20;19;17;14;11;18;
Municipios;0376;Cenicientos;50;55;47;63;70;52;33;41;34;24;18;20;22;20;10;
Municipios;0382;Cercedilla;82;72;82;101;97;81;74;66;57;46;42;39;38;36;33;
Municipios;0395;Cervera de Buitrago;0;0;0;1;1;4;0;2;2;2;0;1;0;1;0;
Municipios;0513;Chapinería;28;34;31;37;47;21;23;24;17;14;11;13;10;11;16;
Municipios;0528;Chinchón;113;118;97;99;98;77;72;68;47;40;39;29;28;17;16;
Municipios;0409;Ciempozuelos;376;395;315;349;340;321;245;226;189;152;152;167;169;119;101;
Municipios;0416;Cobeña;45;42;47;51;43;53;29;35;30;25;20;13;24;24;18;
Municipios;0468;Collado Mediano;113;113;97;106;102;102;81;70;65;63;52;60;68;54;43;
Municipios;0474;Collado Villalba;968;1023;882;918;867;721;643;573;467;418;344;439;401;333;275;
Municipios;0455;Colmenar Viejo;623;697;694;729;718;629;499;416;330;274;260;234;249;212;195;
Municipios;0437;Colmenar de Oreja;272;278;235;234;259;254;211;174;104;105;67;77;73;77;64;
Municipios;0421;Colmenar del Arroyo;28;29;32;33;32;22;17;18;12;10;7;8;8;11;6;
Municipios;0442;Colmenarejo;112;115;95;88;93;102;89;80;69;57;46;54;67;43;33;
Municipios;0480;Corpa;11;12;11;15;8;4;3;4;4;2;1;2;3;2;3;
Municipios;0493;Coslada;1205;1238;1136;1180;1160;1056;900;769;628;543;484;471;582;442;357;
Municipios;0506;Cubas de la Sagra;38;45;40;49;69;56;41;49;32;20;19;21;20;17;22;
Municipios;0534;Daganzo de Arriba;48;63;49;41;56;44;41;34;24;24;24;32;33;20;23;
Municipios;0549;Escorial (El);129;121;100;119;124;119;106;98;71;80;64;64;59;57;57;
Municipios;0552;Estremera;36;32;31;25;37;23;26;20;12;13;16;19;14;11;5;
Municipios;0565;Fresnedillas de la Oliva;31;41;45;59;51;47;41;36;30;30;18;16;17;14;17;
Municipios;0571;Fresno de Torote;25;25;14;25;34;29;16;12;8;9;7;6;9;8;9;
Municipios;0587;Fuenlabrada;3903;3865;3287;3330;3522;3115;2438;2016;1551;1257;1030;1094;1174;939;841;
Municipios;0590;Fuente el Saz de Jarama;86;89;73;86;72;74;52;40;36;35;28;31;46;27;25;
Municipios;0604;Fuentidueña de Tajo;45;44;47;53;54;47;41;37;26;22;14;17;15;12;10;
Municipios;0611;Galapagar;588;641;517;544;468;415;334;314;224;194;164;178;184;144;150;
Municipios;0626;Garganta de los Montes;7;6;3;5;9;10;8;7;5;3;1;2;1;3;1;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;3;4;3;6;5;3;4;3;2;0;0;0;0;0;1;
Municipios;0647;Gascones;1;1;0;4;3;2;2;2;1;1;0;1;1;0;0;
Municipios;0650;Getafe;2463;2677;2368;2493;2547;2195;1822;1581;1253;1066;920;949;1063;840;721;
