Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;25283;25116;
Zonas Estadísticas;01;Municipio de Madrid ;8439;8460;
Zonas Estadísticas;02;Norte Metropolitano ;1467;1474;
Zonas Estadísticas;03;Este Metropolitano  ;4278;4202;
Zonas Estadísticas;04;Sur Metropolitano   ;6479;6369;
Zonas Estadísticas;05;Oeste Metropolitano ;1226;1250;
Zonas Estadísticas;06;Sierra Norte        ;159;160;
Zonas Estadísticas;07;Nordeste Comunidad  ;562;576;
Zonas Estadísticas;08;Sudeste Comunidad   ;913;902;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1078;1056;
Zonas Estadísticas;10;Sierra Sur          ;165;162;
Zonas Estadísticas;11;Sierra Central      ;517;505;
Municipios;0014;Acebeda (La);1;0;
Municipios;0029;Ajalvir;222;220;
Municipios;0035;Alameda del Valle;0;0;
Municipios;0040;Alamo (El);50;49;
Municipios;0053;Alcalá de Henares;755;747;
Municipios;0066;Alcobendas;428;431;
Municipios;0072;Alcorcón;614;604;
Municipios;0088;Aldea del Fresno;4;2;
Municipios;0091;Algete;180;183;
Municipios;0105;Alpedrete;48;52;
Municipios;0112;Ambite;1;2;
Municipios;0127;Anchuelo;7;7;
Municipios;0133;Aranjuez;149;149;
Municipios;0148;Arganda del Rey;1064;1026;
Municipios;0151;Arroyomolinos;132;127;
Municipios;0164;Atazar (El);0;0;
Municipios;0170;Batres;6;5;
Municipios;0186;Becerril de la Sierra;14;14;
Municipios;0199;Belmonte de Tajo;33;32;
Municipios;0210;Berrueco (El);3;3;
Municipios;0203;Berzosa del Lozoya;0;0;
Municipios;0225;Boadilla del Monte;136;143;
Municipios;0231;Boalo (El);35;34;
Municipios;0246;Braojos;0;0;
Municipios;0259;Brea de Tajo;3;4;
Municipios;0262;Brunete;36;32;
Municipios;0278;Buitrago del Lozoya;0;2;
Municipios;0284;Bustarviejo;13;13;
Municipios;0297;Cabanillas de la Sierra;2;2;
