Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Ocupados. Ocupados en unidades productivas de actividades financieras y de seguros. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Comunidad de Madrid;;Comunidad de Madrid;114421;117973;113171;113561;114982;116251;117697;120683;123025;
Zonas Estadísticas;01;Municipio de Madrid ;81011;83205;79057;79471;80021;80862;81354;83646;86085;
Zonas Estadísticas;02;Norte Metropolitano ;6987;7149;7673;8122;8485;8426;9012;9156;9407;
Zonas Estadísticas;03;Este Metropolitano  ;4303;4448;4879;4832;4788;4816;4669;4919;4702;
Zonas Estadísticas;04;Sur Metropolitano   ;9023;9292;9090;9171;8781;8802;8588;8255;8070;
Zonas Estadísticas;05;Oeste Metropolitano ;10357;11061;9768;9205;9489;9613;10463;10663;10923;
Zonas Estadísticas;06;Sierra Norte        ;202;209;202;206;177;215;216;277;263;
Zonas Estadísticas;07;Nordeste Comunidad  ;259;269;294;294;272;300;302;380;358;
Zonas Estadísticas;08;Sudeste Comunidad   ;453;469;500;510;442;525;496;539;516;
Zonas Estadísticas;09;Sudoeste Comunidad  ;635;653;641;694;1529;1638;1519;1583;1484;
Zonas Estadísticas;10;Sierra Sur          ;468;436;209;182;158;173;176;389;369;
Zonas Estadísticas;11;Sierra Central      ;723;782;858;874;840;881;902;876;848;
Municipios;0014;Acebeda (La);3;4;3;3;3;3;3;0;0;
Municipios;0029;Ajalvir;46;51;56;51;45;55;42;35;36;
Municipios;0035;Alameda del Valle;0;0;0;0;0;0;0;1;1;
Municipios;0040;Alamo (El);56;66;60;60;49;54;52;64;60;
Municipios;0053;Alcalá de Henares;1912;1874;2187;2028;1999;2039;1845;1967;1894;
Municipios;0066;Alcobendas;3743;3903;4416;4582;4768;4592;4917;4899;5164;
Municipios;0072;Alcorcón;1314;1278;1281;1301;1261;1208;1140;1109;1087;
Municipios;0088;Aldea del Fresno;19;14;12;13;14;14;14;33;31;
Municipios;0091;Algete;133;127;133;131;125;155;151;151;136;
Municipios;0105;Alpedrete;66;64;67;75;71;80;65;61;61;
Municipios;0112;Ambite;4;4;4;4;0;0;1;1;1;
Municipios;0127;Anchuelo;7;8;9;9;6;9;5;20;22;
Municipios;0133;Aranjuez;271;296;296;306;313;295;253;291;274;
Municipios;0148;Arganda del Rey;289;308;320;309;299;306;282;273;256;
Municipios;0151;Arroyomolinos;109;109;105;117;1027;1086;1010;1027;946;
Municipios;0164;Atazar (El);3;5;5;4;5;4;5;0;0;
Municipios;0170;Batres;2;4;4;5;4;5;5;4;4;
Municipios;0186;Becerril de la Sierra;30;36;48;46;48;46;47;37;36;
Municipios;0199;Belmonte de Tajo;9;8;9;10;12;11;14;23;18;
Municipios;0210;Berrueco (El);1;1;1;0;0;0;0;0;0;
Municipios;0203;Berzosa del Lozoya;0;0;0;0;0;0;0;0;0;
Municipios;0225;Boadilla del Monte;1182;1145;1069;1119;1207;1095;943;1079;984;
Municipios;0231;Boalo (El);14;14;14;17;19;18;21;16;15;
Municipios;0246;Braojos;4;0;0;0;0;0;0;0;0;
Municipios;0259;Brea de Tajo;1;1;1;1;1;1;1;1;1;
Municipios;0262;Brunete;46;54;53;52;52;68;73;77;77;
Municipios;0278;Buitrago del Lozoya;35;40;40;41;36;38;47;54;55;
Municipios;0284;Bustarviejo;14;13;13;12;10;10;10;17;14;
Municipios;0297;Cabanillas de la Sierra;0;0;0;0;1;2;1;2;1;
Municipios;0301;Cabrera (La);4;4;4;4;1;13;2;20;21;
Municipios;0318;Cadalso de los Vidrios;22;22;26;23;14;23;25;44;41;
