Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Ocupados. Ocupados en unidades productivas de minería, electricidad y agua. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Comunidad de Madrid;;Comunidad de Madrid;22741;22506;22761;23265;24885;26018;27539;27637;28714;
Zonas Estadísticas;01;Municipio de Madrid ;15611;15228;14998;15187;16130;15926;17783;15786;16927;
Zonas Estadísticas;02;Norte Metropolitano ;1842;1915;2199;2291;2396;2628;2394;2853;2652;
Zonas Estadísticas;03;Este Metropolitano  ;1617;1529;1509;1521;1881;1761;1911;1960;1958;
Zonas Estadísticas;04;Sur Metropolitano   ;1612;1832;2165;2279;2479;3678;2901;3084;3272;
Zonas Estadísticas;05;Oeste Metropolitano ;870;815;771;806;844;923;1254;1471;1539;
Zonas Estadísticas;06;Sierra Norte        ;111;109;116;118;128;125;124;535;549;
Zonas Estadísticas;07;Nordeste Comunidad  ;152;149;174;162;145;135;130;199;178;
Zonas Estadísticas;08;Sudeste Comunidad   ;451;475;393;499;454;431;597;838;796;
Zonas Estadísticas;09;Sudoeste Comunidad  ;175;165;167;139;161;159;189;446;393;
Zonas Estadísticas;10;Sierra Sur          ;139;137;133;122;122;128;123;232;211;
Zonas Estadísticas;11;Sierra Central      ;161;152;136;141;145;124;133;233;239;
Municipios;0014;Acebeda (La);0;0;0;0;0;0;0;0;0;
Municipios;0029;Ajalvir;35;24;10;9;9;2;8;8;5;
Municipios;0035;Alameda del Valle;0;0;0;0;0;0;0;0;0;
Municipios;0040;Alamo (El);0;0;0;0;0;2;2;2;3;
Municipios;0053;Alcalá de Henares;476;475;498;473;478;463;581;437;435;
Municipios;0066;Alcobendas;1480;1504;1477;1554;1636;1860;1648;1656;1447;
Municipios;0072;Alcorcón;487;495;513;556;551;625;663;738;687;
Municipios;0088;Aldea del Fresno;3;2;2;1;1;1;1;1;1;
Municipios;0091;Algete;18;18;20;25;28;27;29;41;42;
Municipios;0105;Alpedrete;1;1;2;2;0;5;7;6;9;
Municipios;0112;Ambite;1;1;1;1;1;1;1;14;12;
Municipios;0127;Anchuelo;0;0;0;0;0;0;0;0;0;
Municipios;0133;Aranjuez;22;22;57;36;40;153;183;209;207;
Municipios;0148;Arganda del Rey;349;374;325;314;368;370;409;416;392;
Municipios;0151;Arroyomolinos;5;5;6;14;3;9;41;59;59;
Municipios;0164;Atazar (El);1;1;1;1;1;1;1;14;12;
Municipios;0170;Batres;3;3;3;1;1;1;1;1;1;
Municipios;0186;Becerril de la Sierra;0;0;0;0;0;0;0;0;0;
Municipios;0199;Belmonte de Tajo;1;1;1;8;8;8;8;8;8;
Municipios;0210;Berrueco (El);6;6;8;9;10;9;10;23;20;
Municipios;0203;Berzosa del Lozoya;1;1;1;1;1;1;1;14;12;
Municipios;0225;Boadilla del Monte;37;40;39;48;57;63;47;78;112;
Municipios;0231;Boalo (El);1;1;1;1;1;1;2;2;2;
Municipios;0246;Braojos;0;0;0;0;0;0;0;0;0;
Municipios;0259;Brea de Tajo;1;1;1;1;1;1;1;14;12;
Municipios;0262;Brunete;3;3;1;13;9;3;6;4;4;
Municipios;0278;Buitrago del Lozoya;3;3;3;3;3;1;1;1;1;
Municipios;0284;Bustarviejo;1;1;1;1;1;1;1;14;12;
Municipios;0297;Cabanillas de la Sierra;1;1;1;1;1;1;1;14;12;
Municipios;0301;Cabrera (La);2;1;1;1;1;1;2;3;3;
Municipios;0318;Cadalso de los Vidrios;46;45;47;34;36;41;42;53;52;
Municipios;0323;Camarma de Esteruelas;6;12;7;8;8;8;7;22;17;
Municipios;0339;Campo Real;44;44;47;46;45;37;44;33;27;
Municipios;0344;Canencia;0;0;0;0;0;0;0;0;0;
Municipios;0357;Carabaña;1;1;1;1;1;1;1;14;13;
Municipios;0360;Casarrubuelos;0;0;0;1;2;2;2;3;4;
Municipios;0376;Cenicientos;11;7;5;8;5;4;4;1;1;
Municipios;0382;Cercedilla;0;0;0;0;0;0;0;0;0;
Municipios;0395;Cervera de Buitrago;1;1;1;1;1;2;1;14;12;
Municipios;0513;Chapinería;1;1;2;1;2;2;2;14;13;
Municipios;0528;Chinchón;6;4;5;6;6;5;5;5;5;
Municipios;0409;Ciempozuelos;21;21;26;35;33;36;37;34;115;
Municipios;0416;Cobeña;19;34;28;26;31;46;45;70;74;
Municipios;0468;Collado Mediano;0;0;1;1;0;0;0;0;0;
Municipios;0474;Collado Villalba;207;184;137;132;132;107;286;321;341;
Municipios;0455;Colmenar Viejo;28;53;377;355;362;400;400;788;795;
Municipios;0437;Colmenar de Oreja;76;83;87;88;71;55;64;71;73;
Municipios;0421;Colmenar del Arroyo;6;6;1;5;5;5;5;6;5;
Municipios;0442;Colmenarejo;87;77;67;68;71;79;78;149;144;
Municipios;0480;Corpa;0;0;0;0;0;0;0;0;0;
Municipios;0493;Coslada;9;13;20;30;329;295;262;316;315;
Municipios;0506;Cubas de la Sagra;2;2;1;1;13;15;2;3;4;
Municipios;0534;Daganzo de Arriba;28;31;32;35;31;8;4;18;16;
Municipios;0549;Escorial (El);6;7;7;8;8;8;9;21;20;
Municipios;0552;Estremera;3;2;2;7;7;8;9;16;14;
Municipios;0565;Fresnedillas de la Oliva;4;6;6;4;5;5;5;17;12;
Municipios;0571;Fresno de Torote;1;2;2;2;2;2;2;14;12;
Municipios;0587;Fuenlabrada;152;154;159;193;211;1081;202;192;211;
Municipios;0590;Fuente el Saz de Jarama;7;7;12;11;7;4;4;18;19;
Municipios;0604;Fuentidueña de Tajo;8;10;12;10;12;13;13;25;23;
Municipios;0611;Galapagar;10;9;6;8;8;8;10;21;18;
Municipios;0626;Garganta de los Montes;2;2;2;2;2;2;2;14;12;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;2;2;2;2;2;2;2;14;12;
Municipios;0647;Gascones;2;2;2;2;2;2;2;1;1;
Municipios;0650;Getafe;44;232;203;215;234;318;354;354;394;
Municipios;0663;Griñón;9;7;7;7;7;8;8;10;14;
Municipios;0679;Guadalix de la Sierra;3;2;2;2;2;2;2;1;1;
Municipios;0685;Guadarrama;3;3;3;4;4;3;4;5;4;
Municipios;0698;Hiruela (La);2;2;2;2;2;2;2;14;12;
