Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado total. Variación relativa del paro registrado. Unidad: Porcentaje. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;13.96;59.76;18.33;0.42;10.13;7.70;-4.35;-7.94;-8.94;-10.60;-7.27;-6.92;2.83;21.41;-23.19;-7.15;
Zonas Estadísticas;01;Municipio de Madrid ;11.09;53.08;18.79;-0.23;9.25;6.80;-4.11;-6.70;-8.45;-9.29;-6.28;-6.54;2.98;24.19;-25.66;-6.37;
Zonas Estadísticas;02;Norte Metropolitano ;13.43;69.15;21.56;0.18;11.79;8.78;-4.64;-9.08;-9.33;-11.68;-8.70;-8.22;3.98;21.86;-22.93;-8.82;
Zonas Estadísticas;03;Este Metropolitano  ;13.25;76.16;15.97;1.65;8.96;7.92;-1.71;-9.78;-10.48;-12.06;-7.94;-6.58;1.72;19.67;-20.32;-8.08;
Zonas Estadísticas;04;Sur Metropolitano   ;17.39;63.04;15.92;0.07;9.67;9.21;-5.24;-8.94;-9.54;-11.98;-8.79;-7.46;1.71;18.42;-21.81;-8.15;
Zonas Estadísticas;05;Oeste Metropolitano ;13.70;52.50;21.33;-0.08;12.05;5.65;-4.45;-8.71;-9.95;-9.15;-7.46;-7.21;5.77;19.07;-21.22;-6.93;
Zonas Estadísticas;06;Sierra Norte        ;19.81;66.86;29.99;2.92;15.27;4.41;-5.43;-7.07;-4.32;-13.30;-8.74;-8.37;2.41;21.86;-19.49;-1.88;
Zonas Estadísticas;07;Nordeste Comunidad  ;26.33;83.32;20.80;2.70;13.73;9.05;-5.00;-8.42;-11.25;-13.65;-5.67;-6.82;8.14;15.45;-18.23;-6.92;
Zonas Estadísticas;08;Sudeste Comunidad   ;27.62;83.11;26.23;1.45;13.37;8.00;-6.45;-10.14;-7.24;-13.64;-5.11;-5.66;1.69;15.99;-16.09;-7.31;
Zonas Estadísticas;09;Sudoeste Comunidad  ;26.22;67.65;23.28;8.67;19.47;13.61;-6.35;-7.65;-7.11;-10.99;-8.59;-8.26;2.74;20.58;-17.98;-9.02;
Zonas Estadísticas;10;Sierra Sur          ;27.62;50.30;26.90;3.59;17.25;8.09;-12.34;-4.59;-4.47;-12.35;-4.53;-10.87;3.20;17.79;-15.26;-7.99;
Zonas Estadísticas;11;Sierra Central      ;18.91;58.54;18.91;2.70;15.61;5.45;-4.63;-7.80;-6.64;-10.40;-6.71;-6.14;6.99;16.42;-19.41;-5.38;
Municipios;0014;Acebeda (La);50.00;-66.67;400.00;-20.00;50.00;33.33;-25.00;-16.67;-20.00;75.00;-14.29;0.00;16.67;-42.86;0.00;50.00;
Municipios;0029;Ajalvir;18.89;74.77;36.36;-0.39;24.02;1.90;-5.61;3.63;-14.65;-17.54;-8.60;4.95;12.74;10.46;-19.32;-2.82;
Municipios;0035;Alameda del Valle;14.29;37.50;63.64;-5.56;5.88;-16.67;-13.33;0.00;0.00;-23.08;-20.00;25.00;-10.00;55.56;-21.43;72.73;
