Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por edad y sexo.Total. Porcentaje de parados registrados en las oficinas de empleo de los menores de 25 años. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;11.24;11.01;11.20;12.48;11.35;10.82;10.33;8.78;8.07;7.88;7.48;7.35;7.69;7.94;7.74;8.88;6.78;7.35;
Zonas Estadísticas;01;Municipio de Madrid ;9.74;9.68;9.78;10.68;9.88;9.43;9.14;7.63;7.08;7.09;7.00;7.02;7.52;7.63;7.33;8.53;6.38;6.88;
Zonas Estadísticas;02;Norte Metropolitano ;11.34;10.29;10.46;13.00;10.95;10.68;10.28;8.77;7.95;7.69;6.82;6.97;6.97;6.45;6.91;7.98;5.48;6.05;
Zonas Estadísticas;03;Este Metropolitano  ;13.20;13.29;12.89;15.00;13.04;12.45;11.80;10.33;9.36;8.87;8.20;7.90;8.20;8.63;8.42;9.64;7.60;8.25;
Zonas Estadísticas;04;Sur Metropolitano   ;13.98;13.32;13.63;14.58;13.34;12.60;11.80;10.18;9.29;8.93;8.40;8.05;8.22;8.91;8.72;9.65;7.77;8.53;
Zonas Estadísticas;05;Oeste Metropolitano ;7.61;7.45;7.67;9.05;8.46;8.32;8.18;6.53;5.83;5.73;5.41;5.30;5.72;5.85;5.82;6.98;4.72;5.04;
Zonas Estadísticas;06;Sierra Norte        ;10.79;9.82;9.71;12.11;11.83;11.37;10.48;8.51;7.95;7.46;6.40;7.12;7.12;6.85;6.94;8.76;5.77;5.39;
Zonas Estadísticas;07;Nordeste Comunidad  ;11.74;11.51;12.01;14.71;13.04;12.92;11.76;10.67;9.96;8.47;8.50;6.83;7.72;7.80;7.63;9.31;6.48;8.06;
Zonas Estadísticas;08;Sudeste Comunidad   ;13.58;14.08;14.61;15.91;15.10;14.42;12.88;10.95;10.42;9.97;8.95;8.59;8.41;8.68;8.97;9.31;7.28;8.08;
Zonas Estadísticas;09;Sudoeste Comunidad  ;14.26;13.55;14.18;15.85;13.85;12.56;12.41;10.71;9.65;9.70;8.24;8.53;9.34;8.93;8.65;10.64;8.52;9.12;
Zonas Estadísticas;10;Sierra Sur          ;12.77;13.57;15.95;16.37;16.29;14.86;13.41;12.23;11.53;11.54;9.04;9.84;9.26;9.22;9.72;11.30;8.16;8.33;
Zonas Estadísticas;11;Sierra Central      ;9.94;9.42;9.97;11.38;10.46;9.99;9.42;7.57;7.11;7.44;6.42;6.56;6.33;6.78;6.62;8.00;5.85;6.24;
Municipios;0014;Acebeda (La);100.00;50.00;33.33;0.00;0.00;0.00;16.67;12.50;16.67;0.00;0.00;14.29;0.00;16.67;0.00;25.00;0.00;0.00;
Municipios;0029;Ajalvir;9.00;12.22;15.89;13.90;9.02;9.45;7.30;4.98;6.93;7.01;4.85;7.24;9.41;5.66;4.60;9.09;5.16;5.31;
Municipios;0035;Alameda del Valle;14.29;0.00;25.00;0.00;16.67;11.76;16.67;6.67;15.38;0.00;0.00;10.00;0.00;0.00;0.00;0.00;0.00;0.00;
Municipios;0040;Alamo (El);14.81;14.63;13.54;16.44;15.55;13.32;13.02;11.09;9.17;9.22;8.49;8.82;11.20;9.26;10.20;13.28;10.32;10.00;
Municipios;0053;Alcalá de Henares;13.42;13.25;12.86;14.44;12.64;12.26;11.65;10.40;9.39;9.02;8.28;8.04;8.31;8.52;8.51;9.60;7.55;7.94;
Municipios;0066;Alcobendas;11.33;10.10;10.51;12.82;10.45;10.43;9.62;8.48;8.51;8.14;6.38;7.25;7.14;7.19;7.05;8.43;5.22;5.96;
Municipios;0072;Alcorcón;11.35;11.48;10.64;12.23;11.52;11.43;10.77;8.77;7.70;7.69;8.09;7.76;8.01;8.28;8.68;9.60;6.97;8.15;
Municipios;0088;Aldea del Fresno;11.76;17.65;21.48;22.61;16.72;14.58;11.63;12.60;9.83;9.47;7.99;7.78;7.42;5.58;4.62;7.50;7.66;5.86;
Municipios;0091;Algete;10.72;10.82;9.84;16.45;14.48;12.70;10.60;8.05;7.79;7.40;7.49;7.06;7.54;8.08;8.31;8.31;6.80;7.28;
Municipios;0105;Alpedrete;9.02;6.88;5.38;10.65;8.37;8.54;8.71;5.27;6.20;7.40;7.35;6.29;5.09;7.01;6.12;8.59;6.00;7.37;
Municipios;0112;Ambite;7.69;0.00;10.53;12.77;15.00;11.48;12.70;10.77;7.14;9.46;12.17;7.04;4.00;3.45;8.47;6.85;4.17;3.51;
Municipios;0127;Anchuelo;14.71;13.89;18.60;16.67;19.51;14.56;17.19;15.54;8.11;10.40;6.31;6.58;4.05;5.06;10.26;7.00;12.86;15.25;
Municipios;0133;Aranjuez;12.87;11.83;13.56;14.16;13.21;13.58;12.40;9.81;9.17;9.97;8.46;8.05;8.57;9.24;8.18;8.63;8.33;8.41;
Municipios;0148;Arganda del Rey;14.48;12.40;14.20;16.21;14.20;12.13;11.88;10.81;10.37;9.54;8.72;7.40;7.52;8.26;8.66;8.89;7.30;7.70;
Municipios;0151;Arroyomolinos;15.45;10.12;12.62;12.39;12.35;9.20;9.32;8.51;8.58;9.38;8.03;8.62;11.31;9.78;10.01;11.71;8.72;9.01;
Municipios;0164;Atazar (El);0.00;0.00;0.00;33.33;12.50;33.33;8.33;0.00;9.09;25.00;12.50;28.57;14.29;40.00;0.00;7.69;7.69;0.00;
Municipios;0170;Batres;9.09;5.77;14.29;17.65;17.70;11.50;11.59;8.50;8.80;7.96;5.93;3.85;7.14;5.88;6.02;11.34;7.69;5.19;
Municipios;0186;Becerril de la Sierra;10.45;6.43;8.76;8.38;11.00;10.70;9.28;7.37;4.85;4.04;5.66;7.63;4.39;5.36;3.74;8.12;6.23;4.66;
Municipios;0199;Belmonte de Tajo;7.89;19.15;12.90;15.13;8.48;14.46;10.49;5.83;9.41;7.24;6.16;4.81;12.26;8.26;10.74;10.00;5.17;11.11;
Municipios;0210;Berrueco (El);6.67;10.00;5.26;24.24;18.00;11.32;9.26;4.62;1.72;4.55;6.06;9.62;7.32;0.00;8.82;13.16;0.00;0.00;
Municipios;0203;Berzosa del Lozoya;6.67;0.00;0.00;22.22;10.00;20.00;14.29;15.79;23.08;17.39;5.00;0.00;13.33;0.00;14.29;7.14;0.00;0.00;
Municipios;0225;Boadilla del Monte;4.15;5.34;5.24;6.85;5.86;7.15;6.90;5.85;5.53;5.71;4.95;4.95;4.86;5.59;4.99;6.72;4.14;3.99;
Municipios;0231;Boalo (El);6.25;7.78;5.77;10.00;10.07;10.30;8.40;8.12;7.62;5.84;4.87;5.54;6.11;5.70;5.50;6.46;3.03;4.53;
Municipios;0246;Braojos;25.00;0.00;0.00;25.00;7.14;6.25;11.76;20.00;0.00;16.67;0.00;18.18;21.43;11.11;40.00;44.44;25.00;16.67;
Municipios;0259;Brea de Tajo;13.64;0.00;11.11;12.50;19.61;20.93;19.70;13.21;15.38;10.87;19.23;23.44;22.03;26.53;23.40;31.03;14.00;14.29;
Municipios;0262;Brunete;10.79;12.70;8.54;10.30;11.11;11.35;8.13;6.77;8.01;7.03;6.50;6.78;6.08;8.72;8.12;6.15;6.14;5.18;
Municipios;0278;Buitrago del Lozoya;18.92;12.16;17.39;17.14;15.38;12.79;11.52;9.20;12.73;15.97;9.30;7.41;7.29;13.19;11.96;9.92;9.52;5.43;
Municipios;0284;Bustarviejo;9.21;6.67;8.42;6.43;17.33;10.47;10.60;10.20;7.01;5.76;3.61;4.94;4.37;4.40;4.46;4.40;6.33;4.55;
Municipios;0297;Cabanillas de la Sierra;11.11;9.09;7.41;9.38;12.50;5.56;13.21;2.86;4.84;3.85;3.70;2.94;11.76;5.71;0.00;8.16;0.00;2.78;
Municipios;0301;Cabrera (La);13.51;14.86;8.54;13.54;12.93;12.36;8.03;7.20;9.73;6.93;6.19;9.63;7.74;9.03;10.10;10.80;6.02;2.98;
Municipios;0318;Cadalso de los Vidrios;11.93;15.92;9.50;16.67;15.85;13.55;14.20;13.13;13.77;13.65;9.71;10.99;15.11;10.77;11.63;13.10;10.70;9.80;
Municipios;0323;Camarma de Esteruelas;10.31;10.91;15.00;14.44;12.96;15.13;13.91;11.30;10.91;8.02;8.94;7.85;9.41;9.81;8.37;9.41;8.28;7.71;
Municipios;0339;Campo Real;13.87;11.57;11.79;15.19;13.20;11.43;8.95;8.55;9.79;7.93;7.43;7.56;7.35;7.59;7.57;8.30;7.81;5.19;
Municipios;0344;Canencia;0.00;4.35;9.09;0.00;10.71;14.29;7.14;11.11;6.06;3.85;0.00;0.00;2.86;11.11;3.57;18.18;4.17;8.70;
Municipios;0357;Carabaña;12.31;12.33;12.05;14.20;11.27;10.89;7.82;8.08;11.07;9.69;12.10;8.05;5.68;6.80;6.76;6.75;10.46;9.93;
Municipios;0360;Casarrubuelos;12.17;9.76;12.34;10.27;15.02;12.54;14.29;8.79;9.46;10.67;6.12;8.03;5.98;5.83;5.98;11.07;7.36;9.64;
Municipios;0376;Cenicientos;13.07;14.40;24.83;20.47;22.22;16.81;16.27;15.58;16.39;16.09;16.41;14.23;12.99;12.25;14.65;9.90;9.78;11.25;
Municipios;0382;Cercedilla;7.46;19.57;10.84;12.77;12.02;12.29;12.48;9.57;8.57;8.96;7.66;6.72;5.98;7.69;5.52;6.59;7.20;9.30;
Municipios;0395;Cervera de Buitrago;0.00;0.00;0.00;0.00;7.69;27.27;6.25;4.55;11.11;13.33;0.00;0.00;7.14;0.00;0.00;0.00;0.00;15.38;
Municipios;0513;Chapinería;13.54;8.64;16.03;16.67;21.59;16.88;16.81;11.40;12.60;11.91;7.69;3.59;6.74;10.19;13.85;15.50;5.52;6.80;
Municipios;0528;Chinchón;10.70;15.00;13.92;15.90;14.29;15.02;12.20;8.89;8.63;8.80;5.39;7.14;6.48;5.18;5.71;7.84;6.82;6.74;
Municipios;0409;Ciempozuelos;13.17;12.77;13.69;15.82;15.12;13.45;12.41;10.29;9.77;9.51;9.66;8.99;8.26;10.44;9.34;10.49;9.61;11.27;
Municipios;0416;Cobeña;10.31;11.86;7.26;13.66;9.25;8.41;8.60;8.84;7.81;5.59;5.23;8.39;6.77;6.61;6.30;5.43;3.64;4.88;
Municipios;0468;Collado Mediano;12.34;6.98;9.60;8.82;11.18;9.96;9.98;7.48;7.18;7.09;7.05;5.37;4.93;7.16;5.72;6.50;4.99;6.84;
