Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Detalle municipal
Madrid: Población por municipios y sexo. 
Unidades: Personas
;Total;
;2020;
28001 Acebeda, La;68;
28002 Ajalvir;4.721;
28003 Alameda del Valle;204;
28004 Álamo, El;9.862;
28005 Alcalá de Henares;197.562;
28006 Alcobendas;118.417;
28007 Alcorcón;172.384;
28008 Aldea del Fresno;2.973;
28009 Algete;20.864;
28010 Alpedrete;14.839;
28011 Ambite;609;
28012 Anchuelo;1.286;
28013 Aranjuez;60.332;
28014 Arganda del Rey;56.678;
28015 Arroyomolinos;32.935;
28016 Atazar, El;90;
28017 Batres;1.750;
28018 Becerril de la Sierra;5.875;
28019 Belmonte de Tajo;1.683;
28021 Berrueco, El;777;
28020 Berzosa del Lozoya;222;
28022 Boadilla del Monte;56.734;
28023 Boalo, El;7.663;
28024 Braojos;206;
28025 Brea de Tajo;506;
28026 Brunete;10.760;
28027 Buitrago del Lozoya;1.959;
28028 Bustarviejo;2.522;
28029 Cabanillas de la Sierra;785;
28030 Cabrera, La;2.736;
28031 Cadalso de los Vidrios;3.047;
28032 Camarma de Esteruelas;7.437;
28033 Campo Real;6.420;
28034 Canencia;447;
28035 Carabaña;2.081;
28036 Casarrubuelos;3.845;
28037 Cenicientos;2.038;
28038 Cercedilla;7.205;
28039 Cervera de Buitrago;162;
28051 Chapinería;2.414;
28052 Chinchón;5.413;
28040 Ciempozuelos;25.104;
28041 Cobeña;7.486;
28046 Collado Mediano;7.105;
28047 Collado Villalba;64.378;
28043 Colmenar de Oreja;8.154;
28042 Colmenar del Arroyo;1.785;
28045 Colmenar Viejo;51.938;
28044 Colmenarejo;9.230;
28048 Corpa;723;
28049 Coslada;81.391;
28050 Cubas de la Sagra;6.539;
28053 Daganzo de Arriba;10.337;
28054 Escorial, El;16.365;
28055 Estremera;1.334;
28056 Fresnedillas de la Oliva;1.651;
28057 Fresno de Torote;2.299;
28058 Fuenlabrada;194.514;
28059 Fuente el Saz de Jarama;6.807;
28060 Fuentidueña de Tajo;2.136;
28061 Galapagar;34.497;
28062 Garganta de los Montes;377;
28063 Gargantilla del Lozoya y Pinilla de Buitrago;309;
28064 Gascones;176;
28065 Getafe;185.180;
28066 Griñón;10.435;
28067 Guadalix de la Sierra;6.440;
28068 Guadarrama;16.560;
28069 Hiruela, La;65;
28070 Horcajo de la Sierra-Aoslos;152;
28071 Horcajuelo de la Sierra;89;
28072 Hoyo de Manzanares;8.529;
28073 Humanes de Madrid;19.701;
28074 Leganés;191.114;
28075 Loeches;8.897;
28076 Lozoya;580;
28901 Lozoyuela-Navas-Sieteiglesias;1.340;
28078 Madarcos;49;
28079 Madrid;3.334.730;
28 Madrid;6.779.888;
28080 Majadahonda;72.155;
28082 Manzanares el Real;8.936;
28083 Meco;14.670;
28084 Mejorada del Campo;23.639;
28085 Miraflores de la Sierra;6.362;
28086 Molar, El;9.287;
28087 Molinos, Los;4.433;
28088 Montejo de la Sierra;364;
28089 Moraleja de Enmedio;5.200;
28090 Moralzarzal;13.334;
28091 Morata de Tajuña;7.847;
28092 Móstoles;210.309;
28093 Navacerrada;3.091;
28094 Navalafuente;1.511;
28095 Navalagamella;2.637;
28096 Navalcarnero;29.985;
28097 Navarredonda y San Mamés;129;
28099 Navas del Rey;2.966;
28100 Nuevo Baztán;6.454;
28101 Olmeda de las Fuentes;346;
28102 Orusco de Tajuña;1.295;
28104 Paracuellos de Jarama;25.917;
28106 Parla;133.482;
28107 Patones;539;
28108 Pedrezuela;6.150;
28109 Pelayos de la Presa;2.676;
28110 Perales de Tajuña;2.990;
28111 Pezuela de las Torres;867;
28112 Pinilla del Valle;190;
28113 Pinto;53.325;
28114 Piñuécar-Gandullas;179;
28115 Pozuelo de Alarcón;87.165;
28116 Pozuelo del Rey;1.172;
28117 Prádena del Rincón;125;
28118 Puebla de la Sierra;73;
28902 Puentes Viejas;699;
28119 Quijorna;3.541;
28120 Rascafría;1.725;
28121 Redueña;270;
28122 Ribatejada;801;
28123 Rivas-Vaciamadrid;90.973;
28124 Robledillo de la Jara;95;
28125 Robledo de Chavela;4.364;
28126 Robregordo;65;
28127 Rozas de Madrid, Las;96.113;
28128 Rozas de Puerto Real;555;
28129 San Agustín del Guadalix;13.466;
28130 San Fernando de Henares;39.566;
28131 San Lorenzo de El Escorial;18.532;
28132 San Martín de la Vega;19.633;
28133 San Martín de Valdeiglesias;8.679;
28134 San Sebastián de los Reyes;91.224;
28135 Santa María de la Alameda;1.321;
28136 Santorcaz;899;
28137 Santos de la Humosa, Los;2.694;
28138 Serna del Monte, La;87;
28140 Serranillos del Valle;4.291;
28141 Sevilla la Nueva;9.393;
28143 Somosierra;87;
28144 Soto del Real;8.981;
28145 Talamanca de Jarama;4.012;
28146 Tielmes;2.736;
28147 Titulcia;1.341;
28148 Torrejón de Ardoz;132.853;
28149 Torrejón de la Calzada;9.194;
28150 Torrejón de Velasco;4.386;
28151 Torrelaguna;4.854;
28152 Torrelodones;23.902;
28153 Torremocha de Jarama;1.075;
28154 Torres de la Alameda;7.833;
28903 Tres Cantos;48.326;
28155 Valdaracete;605;
28156 Valdeavero;1.591;
28157 Valdelaguna;979;
28158 Valdemanco;963;
28159 Valdemaqueda;775;
28160 Valdemorillo;12.772;
28161 Valdemoro;77.270;
