Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;2828;2445;
Zonas Estadísticas;01;Municipio de Madrid ;1192;955;
Zonas Estadísticas;02;Norte Metropolitano ;70;62;
Zonas Estadísticas;03;Este Metropolitano  ;385;402;
Zonas Estadísticas;04;Sur Metropolitano   ;578;511;
Zonas Estadísticas;05;Oeste Metropolitano ;110;86;
Zonas Estadísticas;06;Sierra Norte        ;50;42;
Zonas Estadísticas;07;Nordeste Comunidad  ;26;30;
Zonas Estadísticas;08;Sudeste Comunidad   ;187;174;
Zonas Estadísticas;09;Sudoeste Comunidad  ;97;75;
Zonas Estadísticas;10;Sierra Sur          ;71;47;
Zonas Estadísticas;11;Sierra Central      ;62;61;
Municipios;0014;Acebeda (La);0;0;
Municipios;0029;Ajalvir;6;8;
Municipios;0035;Alameda del Valle;1;1;
Municipios;0040;Alamo (El);6;5;
Municipios;0053;Alcalá de Henares;61;50;
Municipios;0066;Alcobendas;14;15;
Municipios;0072;Alcorcón;54;49;
Municipios;0088;Aldea del Fresno;5;7;
Municipios;0091;Algete;3;6;
Municipios;0105;Alpedrete;2;5;
Municipios;0112;Ambite;1;0;
Municipios;0127;Anchuelo;1;0;
Municipios;0133;Aranjuez;64;67;
Municipios;0148;Arganda del Rey;27;25;
Municipios;0151;Arroyomolinos;10;6;
Municipios;0164;Atazar (El);0;1;
Municipios;0170;Batres;1;1;
Municipios;0186;Becerril de la Sierra;4;5;
Municipios;0199;Belmonte de Tajo;3;5;
Municipios;0210;Berrueco (El);1;0;
Municipios;0203;Berzosa del Lozoya;1;0;
Municipios;0225;Boadilla del Monte;2;5;
Municipios;0231;Boalo (El);3;1;
Municipios;0246;Braojos;0;0;
Municipios;0259;Brea de Tajo;1;1;
Municipios;0262;Brunete;4;3;
Municipios;0278;Buitrago del Lozoya;4;5;
Municipios;0284;Bustarviejo;7;4;
Municipios;0297;Cabanillas de la Sierra;0;1;
Municipios;0301;Cabrera (La);2;1;
Municipios;0318;Cadalso de los Vidrios;15;4;
