Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;25408;22702;
Zonas Estadísticas;01;Municipio de Madrid ;11318;10234;
Zonas Estadísticas;02;Norte Metropolitano ;905;786;
Zonas Estadísticas;03;Este Metropolitano  ;3297;2863;
Zonas Estadísticas;04;Sur Metropolitano   ;6429;5627;
Zonas Estadísticas;05;Oeste Metropolitano ;1017;929;
Zonas Estadísticas;06;Sierra Norte        ;174;175;
Zonas Estadísticas;07;Nordeste Comunidad  ;257;243;
Zonas Estadísticas;08;Sudeste Comunidad   ;512;474;
Zonas Estadísticas;09;Sudoeste Comunidad  ;578;547;
Zonas Estadísticas;10;Sierra Sur          ;294;241;
Zonas Estadísticas;11;Sierra Central      ;627;583;
Municipios;0014;Acebeda (La);1;0;
Municipios;0029;Ajalvir;8;6;
Municipios;0035;Alameda del Valle;0;0;
Municipios;0040;Alamo (El);57;58;
Municipios;0053;Alcalá de Henares;990;898;
Municipios;0066;Alcobendas;264;240;
Municipios;0072;Alcorcón;655;571;
Municipios;0088;Aldea del Fresno;19;21;
Municipios;0091;Algete;60;41;
Municipios;0105;Alpedrete;42;43;
Municipios;0112;Ambite;2;3;
Municipios;0127;Anchuelo;5;0;
Municipios;0133;Aranjuez;281;243;
Municipios;0148;Arganda del Rey;534;454;
Municipios;0151;Arroyomolinos;91;88;
Municipios;0164;Atazar (El);1;1;
Municipios;0170;Batres;3;6;
Municipios;0186;Becerril de la Sierra;26;37;
Municipios;0199;Belmonte de Tajo;5;8;
Municipios;0210;Berrueco (El);4;3;
Municipios;0203;Berzosa del Lozoya;0;0;
Municipios;0225;Boadilla del Monte;64;62;
Municipios;0231;Boalo (El);21;17;
Municipios;0246;Braojos;1;0;
Municipios;0259;Brea de Tajo;0;0;
Municipios;0262;Brunete;29;30;
Municipios;0278;Buitrago del Lozoya;7;10;
Municipios;0284;Bustarviejo;6;4;
Municipios;0297;Cabanillas de la Sierra;4;2;
Municipios;0301;Cabrera (La);18;18;
Municipios;0318;Cadalso de los Vidrios;30;17;
Municipios;0323;Camarma de Esteruelas;33;25;
Municipios;0339;Campo Real;33;29;
Municipios;0344;Canencia;2;2;
Municipios;0357;Carabaña;15;16;
Municipios;0360;Casarrubuelos;11;18;
Municipios;0376;Cenicientos;20;10;
Municipios;0382;Cercedilla;36;33;
Municipios;0395;Cervera de Buitrago;1;0;
Municipios;0513;Chapinería;11;16;
Municipios;0528;Chinchón;17;16;
Municipios;0409;Ciempozuelos;119;101;
Municipios;0416;Cobeña;24;18;
Municipios;0468;Collado Mediano;54;43;
Municipios;0474;Collado Villalba;333;275;
Municipios;0455;Colmenar Viejo;212;195;
Municipios;0437;Colmenar de Oreja;77;64;
Municipios;0421;Colmenar del Arroyo;11;6;
Municipios;0442;Colmenarejo;43;33;
Municipios;0480;Corpa;2;3;
Municipios;0493;Coslada;442;357;
Municipios;0506;Cubas de la Sagra;17;22;
Municipios;0534;Daganzo de Arriba;20;23;
Municipios;0549;Escorial (El);57;57;
Municipios;0552;Estremera;11;5;
Municipios;0565;Fresnedillas de la Oliva;14;17;
Municipios;0571;Fresno de Torote;8;9;
Municipios;0587;Fuenlabrada;939;841;
Municipios;0590;Fuente el Saz de Jarama;27;25;
Municipios;0604;Fuentidueña de Tajo;12;10;
Municipios;0611;Galapagar;144;150;
Municipios;0626;Garganta de los Montes;3;1;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0;1;
Municipios;0647;Gascones;0;0;
Municipios;0650;Getafe;840;721;
Municipios;0663;Griñón;29;24;
Municipios;0679;Guadalix de la Sierra;34;28;
Municipios;0685;Guadarrama;58;53;
Municipios;0698;Hiruela (La);0;0;
Municipios;0702;Horcajo de la Sierra-Aoslos;1;0;
Municipios;0719;Horcajuelo de la Sierra;1;0;
Municipios;0724;Hoyo de Manzanares;23;13;
Municipios;0730;Humanes de Madrid;88;84;
