Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;557490;546275;
Zonas Estadísticas;01;Municipio de Madrid ;251418;248990;
Zonas Estadísticas;02;Norte Metropolitano ;30483;30049;
Zonas Estadísticas;03;Este Metropolitano  ;61200;59875;
Zonas Estadísticas;04;Sur Metropolitano   ;121675;116947;
Zonas Estadísticas;05;Oeste Metropolitano ;38033;37023;
Zonas Estadísticas;06;Sierra Norte        ;3978;3926;
Zonas Estadísticas;07;Nordeste Comunidad  ;6566;6346;
Zonas Estadísticas;08;Sudeste Comunidad   ;10488;10516;
Zonas Estadísticas;09;Sudoeste Comunidad  ;15992;15685;
Zonas Estadísticas;10;Sierra Sur          ;3059;2988;
Zonas Estadísticas;11;Sierra Central      ;14598;13930;
Municipios;0014;Acebeda (La);1;0;
Municipios;0029;Ajalvir;482;435;
Municipios;0035;Alameda del Valle;17;13;
Municipios;0040;Alamo (El);830;811;
Municipios;0053;Alcalá de Henares;15872;15302;
Municipios;0066;Alcobendas;9845;9602;
Municipios;0072;Alcorcón;14451;13700;
Municipios;0088;Aldea del Fresno;268;269;
Municipios;0091;Algete;1496;1469;
Municipios;0105;Alpedrete;1126;1006;
Municipios;0112;Ambite;55;56;
Municipios;0127;Anchuelo;140;137;
Municipios;0133;Aranjuez;5026;4827;
Municipios;0148;Arganda del Rey;5628;5460;
Municipios;0151;Arroyomolinos;4699;4535;
Municipios;0164;Atazar (El);10;9;
Municipios;0170;Batres;144;154;
Municipios;0186;Becerril de la Sierra;533;521;
Municipios;0199;Belmonte de Tajo;158;170;
Municipios;0210;Berrueco (El);78;70;
Municipios;0203;Berzosa del Lozoya;11;9;
Municipios;0225;Boadilla del Monte;5107;4964;
Municipios;0231;Boalo (El);787;768;
Municipios;0246;Braojos;21;21;
Municipios;0259;Brea de Tajo;32;40;
Municipios;0262;Brunete;930;882;
Municipios;0278;Buitrago del Lozoya;145;141;
Municipios;0284;Bustarviejo;253;261;
Municipios;0297;Cabanillas de la Sierra;91;83;
Municipios;0301;Cabrera (La);271;269;
Municipios;0318;Cadalso de los Vidrios;236;229;
Municipios;0323;Camarma de Esteruelas;750;712;
Municipios;0339;Campo Real;703;683;
Municipios;0344;Canencia;19;17;
Municipios;0357;Carabaña;225;246;
Municipios;0360;Casarrubuelos;399;389;
Municipios;0376;Cenicientos;139;136;
Municipios;0382;Cercedilla;556;575;
Municipios;0395;Cervera de Buitrago;7;7;
Municipios;0513;Chapinería;226;212;
Municipios;0528;Chinchón;493;476;
Municipios;0409;Ciempozuelos;2322;2210;
Municipios;0416;Cobeña;735;697;
Municipios;0468;Collado Mediano;556;522;
Municipios;0474;Collado Villalba;5304;5268;
Municipios;0455;Colmenar Viejo;4716;4842;
Municipios;0437;Colmenar de Oreja;702;699;
Municipios;0421;Colmenar del Arroyo;168;158;
Municipios;0442;Colmenarejo;790;736;
Municipios;0480;Corpa;88;89;
Municipios;0493;Coslada;6729;6356;
Municipios;0506;Cubas de la Sagra;763;736;
Municipios;0534;Daganzo de Arriba;907;848;
Municipios;0549;Escorial (El);1260;1251;
Municipios;0552;Estremera;111;117;
