Población.Censos.Censo anual.Población censada.Total. Población censada de 85 a 89 años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;123419;126476;126154;
Zonas Estadísticas;01;Municipio de Madrid ;81609;82107;80430;
Zonas Estadísticas;02;Norte Metropolitano ;3945;4171;4257;
Zonas Estadísticas;03;Este Metropolitano  ;7237;7671;7870;
Zonas Estadísticas;04;Sur Metropolitano   ;16341;17453;18172;
Zonas Estadísticas;05;Oeste Metropolitano ;6098;6434;6659;
Zonas Estadísticas;06;Sierra Norte        ;818;859;888;
Zonas Estadísticas;07;Nordeste Comunidad  ;660;724;731;
Zonas Estadísticas;08;Sudeste Comunidad   ;1738;1785;1811;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1718;1864;1873;
Zonas Estadísticas;10;Sierra Sur          ;795;795;779;
Zonas Estadísticas;11;Sierra Central      ;2460;2613;2684;
Municipios;0014;Acebeda (La);4;2;3;
Municipios;0029;Ajalvir;46;48;47;
Municipios;0035;Alameda del Valle;5;5;8;
Municipios;0040;Alamo (El);235;262;223;
Municipios;0053;Alcalá de Henares;2907;3126;3209;
Municipios;0066;Alcobendas;1409;1510;1495;
Municipios;0072;Alcorcón;2866;3134;3324;
Municipios;0088;Aldea del Fresno;74;84;82;
Municipios;0091;Algete;240;257;246;
Municipios;0105;Alpedrete;169;187;198;
Municipios;0112;Ambite;23;28;28;
Municipios;0127;Anchuelo;12;8;12;
Municipios;0133;Aranjuez;1015;1006;995;
Municipios;0148;Arganda del Rey;512;524;545;
Municipios;0151;Arroyomolinos;98;113;131;
Municipios;0164;Atazar (El);5;4;6;
Municipios;0170;Batres;18;18;23;
Municipios;0186;Becerril de la Sierra;91;80;87;
Municipios;0199;Belmonte de Tajo;35;29;30;
Municipios;0210;Berrueco (El);24;25;23;
Municipios;0203;Berzosa del Lozoya;3;2;2;
Municipios;0225;Boadilla del Monte;534;579;618;
Municipios;0231;Boalo (El);77;76;77;
Municipios;0246;Braojos;6;7;5;
Municipios;0259;Brea de Tajo;20;17;18;
Municipios;0262;Brunete;120;135;143;
Municipios;0278;Buitrago del Lozoya;41;43;47;
Municipios;0284;Bustarviejo;55;51;47;
Municipios;0297;Cabanillas de la Sierra;11;10;10;
Municipios;0301;Cabrera (La);48;59;55;
Municipios;0318;Cadalso de los Vidrios;73;49;51;
Municipios;0323;Camarma de Esteruelas;73;75;72;
Municipios;0339;Campo Real;100;108;108;
Municipios;0344;Canencia;22;24;22;
Municipios;0357;Carabaña;49;48;44;
Municipios;0360;Casarrubuelos;18;21;24;
Municipios;0376;Cenicientos;73;80;78;
Municipios;0382;Cercedilla;140;144;158;
Municipios;0395;Cervera de Buitrago;6;9;9;
Municipios;0513;Chapinería;52;54;58;
Municipios;0528;Chinchón;118;112;104;
Municipios;0409;Ciempozuelos;413;429;451;
Municipios;0416;Cobeña;63;58;74;
Municipios;0468;Collado Mediano;93;103;101;
Municipios;0474;Collado Villalba;864;916;939;
Municipios;0455;Colmenar Viejo;705;713;742;
Municipios;0437;Colmenar de Oreja;163;172;192;
Municipios;0421;Colmenar del Arroyo;45;42;35;
Municipios;0442;Colmenarejo;93;97;95;
Municipios;0480;Corpa;14;14;18;
Municipios;0493;Coslada;900;922;946;
Municipios;0506;Cubas de la Sagra;81;83;81;
Municipios;0534;Daganzo de Arriba;68;91;89;
Municipios;0549;Escorial (El);287;291;289;
Municipios;0552;Estremera;48;53;49;
Municipios;0565;Fresnedillas de la Oliva;18;17;13;
Municipios;0571;Fresno de Torote;23;27;26;
Municipios;0587;Fuenlabrada;1577;1629;1578;
Municipios;0590;Fuente el Saz de Jarama;88;93;95;
Municipios;0604;Fuentidueña de Tajo;46;40;42;
Municipios;0611;Galapagar;422;412;430;
Municipios;0626;Garganta de los Montes;7;4;2;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;4;7;12;
Municipios;0647;Gascones;2;1;0;
Municipios;0650;Getafe;2564;2760;2937;
Municipios;0663;Griñón;161;166;162;
Municipios;0679;Guadalix de la Sierra;101;103;100;
Municipios;0685;Guadarrama;287;295;299;
Municipios;0698;Hiruela (La);2;1;1;
Municipios;0702;Horcajo de la Sierra-Aoslos;1;1;2;
Municipios;0719;Horcajuelo de la Sierra;1;2;3;
Municipios;0724;Hoyo de Manzanares;107;112;107;
Municipios;0730;Humanes de Madrid;118;129;135;
Municipios;0745;Leganés;3128;3381;3534;
Municipios;0758;Loeches;81;75;72;
Municipios;0761;Lozoya;11;12;16;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;34;44;36;
Municipios;0783;Madarcos;2;2;3;
Municipios;0796;Madrid;81609;82107;80430;
Municipios;0800;Majadahonda;875;947;983;
Municipios;0822;Manzanares el Real;87;100;108;
Municipios;0838;Meco;94;99;109;
Municipios;0843;Mejorada del Campo;205;219;224;
Municipios;0856;Miraflores de la Sierra;89;79;88;
Municipios;0869;Molar (El);94;98;102;
Municipios;0875;Molinos (Los);92;96;94;
Municipios;0881;Montejo de la Sierra;10;12;15;
Municipios;0894;Moraleja de Enmedio;63;71;67;
Municipios;0908;Moralzarzal;145;173;183;
Municipios;0915;Morata de Tajuña;131;152;152;
Municipios;0920;Móstoles;2388;2575;2710;
Municipios;0936;Navacerrada;54;67;71;
Municipios;0941;Navalafuente;17;15;14;
Municipios;0954;Navalagamella;25;27;29;
Municipios;0967;Navalcarnero;370;417;443;
Municipios;0973;Navarredonda y San Mamés;4;5;4;
Municipios;0992;Navas del Rey;56;61;61;
Municipios;1006;Nuevo Baztán;45;58;64;
Municipios;1013;Olmeda de las Fuentes;8;9;7;
Municipios;1028;Orusco de Tajuña;48;50;47;
Municipios;1049;Paracuellos de Jarama;152;160;172;
Municipios;1065;Parla;843;888;917;
Municipios;1071;Patones;19;20;35;
Municipios;1087;Pedrezuela;66;66;67;
Municipios;1090;Pelayos de la Presa;58;66;70;
Municipios;1104;Perales de Tajuña;55;54;59;
Municipios;1111;Pezuela de las Torres;24;22;18;
Municipios;1126;Pinilla del Valle;7;7;7;
Municipios;1132;Pinto;585;623;619;
Municipios;1147;Piñuécar-Gandullas;12;11;11;
Municipios;1150;Pozuelo de Alarcón;1298;1328;1381;
Municipios;1163;Pozuelo del Rey;12;12;10;
Municipios;1179;Prádena del Rincón;8;8;6;
Municipios;1185;Puebla de la Sierra;1;1;1;
Municipios;9020;Puentes Viejas;15;18;18;
Municipios;1198;Quijorna;37;47;56;
Municipios;1202;Rascafría;45;43;42;
Municipios;1219;Redueña;4;7;8;
Municipios;1224;Ribatejada;14;17;15;
Municipios;1230;Rivas-Vaciamadrid;548;602;605;
Municipios;1245;Robledillo de la Jara;3;4;6;
Municipios;1258;Robledo de Chavela;84;89;82;
Municipios;1261;Robregordo;6;8;8;
Municipios;1277;Rozas de Madrid (Las);963;1041;1069;
Municipios;1283;Rozas de Puerto Real;23;19;21;
Municipios;1296;San Agustín del Guadalix;127;137;151;
Municipios;1300;San Fernando de Henares;485;513;511;
Municipios;1317;San Lorenzo de El Escorial;340;362;371;
Municipios;1338;San Martín de Valdeiglesias;210;205;206;
Municipios;1322;San Martín de la Vega;175;185;213;
Municipios;1343;San Sebastián de los Reyes;910;957;1022;
Municipios;1356;Santa María de la Alameda;26;28;23;
Municipios;1369;Santorcaz;26;21;21;
Municipios;1375;Santos de la Humosa (Los);21;24;29;
Municipios;1381;Serna del Monte (La);1;1;1;
Municipios;1408;Serranillos del Valle;48;39;41;
Municipios;1415;Sevilla la Nueva;114;134;144;
Municipios;1436;Somosierra;3;3;3;
Municipios;1441;Soto del Real;155;174;150;
Municipios;1454;Talamanca de Jarama;49;56;65;
Municipios;1467;Tielmes;62;64;61;
Municipios;1473;Titulcia;18;22;25;
Municipios;1489;Torrejón de Ardoz;1375;1447;1507;
Municipios;1505;Torrejón de Velasco;64;73;70;
Municipios;1492;Torrejón de la Calzada;64;70;77;
Municipios;1512;Torrelaguna;78;83;84;
Municipios;1527;Torrelodones;274;322;317;
Municipios;1533;Torremocha de Jarama;41;46;49;
Municipios;1548;Torres de la Alameda;122;133;122;
Municipios;9036;Tres Cantos;491;539;527;
Municipios;1551;Valdaracete;19;26;23;
Municipios;1564;Valdeavero;15;22;19;
Municipios;1570;Valdelaguna;20;19;22;
Municipios;1586;Valdemanco;21;22;28;
Municipios;1599;Valdemaqueda;13;18;15;
Municipios;1603;Valdemorillo;154;170;181;
Municipios;1610;Valdemoro;669;714;759;
