Municipios;Distribución de la superficie;Total
28000:Total;Tierras para pastos permanentes;159.567
28001:Acebeda (La);Tierras para pastos permanentes;1.435
28002:Ajalvir;Tierras para pastos permanentes;0
28003:Alameda del Valle;Tierras para pastos permanentes;1.315
28004:Álamo (El);Tierras para pastos permanentes;0
28005:Alcalá de Henares;Tierras para pastos permanentes;780
28006:Alcobendas;Tierras para pastos permanentes;23
28007:Alcorcón;Tierras para pastos permanentes;0
28008:Aldea del Fresno;Tierras para pastos permanentes;594
28009:Algete;Tierras para pastos permanentes;124
28010:Alpedrete;Tierras para pastos permanentes;380
28011:Ambite;Tierras para pastos permanentes;0
28012:Anchuelo;Tierras para pastos permanentes;0
28013:Aranjuez;Tierras para pastos permanentes;1.465
28014:Arganda del Rey;Tierras para pastos permanentes;1.346
28015:Arroyomolinos;Tierras para pastos permanentes;62
28016:Atazar (El);Tierras para pastos permanentes;54
28017:Batres;Tierras para pastos permanentes;926
28018:Becerril de la Sierra;Tierras para pastos permanentes;414
28019:Belmonte de Tajo;Tierras para pastos permanentes;288
28021:Berrueco (El);Tierras para pastos permanentes;687
28020:Berzosa del Lozoya;Tierras para pastos permanentes;128
28022:Boadilla del Monte;Tierras para pastos permanentes;20
28023:Boalo (El);Tierras para pastos permanentes;481
28024:Braojos;Tierras para pastos permanentes;2.109
28025:Brea de Tajo;Tierras para pastos permanentes;151
28026:Brunete;Tierras para pastos permanentes;68
28027:Buitrago del Lozoya;Tierras para pastos permanentes;1.333
28028:Bustarviejo;Tierras para pastos permanentes;5.131
28029:Cabanillas de la Sierra;Tierras para pastos permanentes;957
28030:Cabrera (La);Tierras para pastos permanentes;1.263
28031:Cadalso de los Vidrios;Tierras para pastos permanentes;422
28032:Camarma de Esteruelas;Tierras para pastos permanentes;12
28033:Campo Real;Tierras para pastos permanentes;30
28034:Canencia;Tierras para pastos permanentes;2.230
28035:Carabaña;Tierras para pastos permanentes;107
28036:Casarrubuelos;Tierras para pastos permanentes;0
28037:Cenicientos;Tierras para pastos permanentes;4.473
28038:Cercedilla;Tierras para pastos permanentes;2.711
28039:Cervera de Buitrago;Tierras para pastos permanentes;125
28040:Ciempozuelos;Tierras para pastos permanentes;187
28041:Cobeña;Tierras para pastos permanentes;118
28043:Colmenar de Oreja;Tierras para pastos permanentes;1.326
28042:Colmenar del Arroyo;Tierras para pastos permanentes;966
28045:Colmenar Viejo;Tierras para pastos permanentes;13.813
28044:Colmenarejo;Tierras para pastos permanentes;1.112
28046:Collado Mediano;Tierras para pastos permanentes;707
28047:Collado Villalba;Tierras para pastos permanentes;1.101
28048:Corpa;Tierras para pastos permanentes;2
28049:Coslada;Tierras para pastos permanentes;3
28050:Cubas de la Sagra;Tierras para pastos permanentes;5
28051:Chapinería;Tierras para pastos permanentes;567
28052:Chinchón;Tierras para pastos permanentes;1.274
28053:Daganzo de Arriba;Tierras para pastos permanentes;490
28054:Escorial (El);Tierras para pastos permanentes;2.145
28055:Estremera;Tierras para pastos permanentes;202
28056:Fresnedillas de la Oliva;Tierras para pastos permanentes;1.049
28057:Fresno de Torote;Tierras para pastos permanentes;8
28058:Fuenlabrada;Tierras para pastos permanentes;14
28059:Fuente el Saz de Jarama;Tierras para pastos permanentes;146
28060:Fuentidueña de Tajo;Tierras para pastos permanentes;80
28061:Galapagar;Tierras para pastos permanentes;2.968
28062:Garganta de los Montes;Tierras para pastos permanentes;2.493
28063:Gargantilla del Lozoya;Tierras para pastos permanentes;937
28064:Gascones;Tierras para pastos permanentes;731
28065:Getafe;Tierras para pastos permanentes;362
28066:Griñón;Tierras para pastos permanentes;2
28067:Guadalix de la Sierra;Tierras para pastos permanentes;3.105
28068:Guadarrama;Tierras para pastos permanentes;986
28069:Hiruela (La);Tierras para pastos permanentes;107
28070:Horcajo de la Sierra;Tierras para pastos permanentes;863
28071:Horcajuelo de la Sierra;Tierras para pastos permanentes;190
28072:Hoyo de Manzanares;Tierras para pastos permanentes;1.867
28073:Humanes de Madrid;Tierras para pastos permanentes;431
28074:Leganés;Tierras para pastos permanentes;0
28075:Loeches;Tierras para pastos permanentes;6
28076:Lozoya;Tierras para pastos permanentes;1.565
28901:Lozoyuela-Navas-Sieteiglesias;Tierras para pastos permanentes;3.187
28078:Madarcos;Tierras para pastos permanentes;630
28079:Madrid;Tierras para pastos permanentes;9.310
28080:Majadahonda;Tierras para pastos permanentes;49
28082:Manzanares el Real;Tierras para pastos permanentes;3.628
28083:Meco;Tierras para pastos permanentes;307
28084:Mejorada del Campo;Tierras para pastos permanentes;12
28085:Miraflores de la Sierra;Tierras para pastos permanentes;5.380
28086:Molar (El);Tierras para pastos permanentes;181
28087:Molinos (Los);Tierras para pastos permanentes;315
28088:Montejo de la Sierra;Tierras para pastos permanentes;756
28089:Moraleja de Enmedio;Tierras para pastos permanentes;33
28090:Moralzarzal;Tierras para pastos permanentes;1.516
28091:Morata de Tajuña;Tierras para pastos permanentes;10
28092:Móstoles;Tierras para pastos permanentes;459
28093:Navacerrada;Tierras para pastos permanentes;1.732
28094:Navalafuente;Tierras para pastos permanentes;399
28095:Navalagamella;Tierras para pastos permanentes;1.984
28096:Navalcarnero;Tierras para pastos permanentes;76
28097:Navarredonda;Tierras para pastos permanentes;667
28099:Navas del Rey;Tierras para pastos permanentes;1.029
28100:Nuevo Baztán;Tierras para pastos permanentes;416
28101:Olmeda de las Fuentes;Tierras para pastos permanentes;0
28102:Orusco de Tajuña;Tierras para pastos permanentes;0
