Municipios;Distribución de la superficie;Total
28000:Total;Total;543.470
28001:Acebeda (La);Total;1.592
28002:Ajalvir;Total;1.888
28003:Alameda del Valle;Total;2.116
28004:Álamo (El);Total;1.701
28005:Alcalá de Henares;Total;3.446
28006:Alcobendas;Total;652
28007:Alcorcón;Total;1.208
28008:Aldea del Fresno;Total;4.464
28009:Algete;Total;2.901
28010:Alpedrete;Total;551
28011:Ambite;Total;1.860
28012:Anchuelo;Total;1.999
28013:Aranjuez;Total;15.271
28014:Arganda del Rey;Total;5.918
28015:Arroyomolinos;Total;1.115
28016:Atazar (El);Total;569
28017:Batres;Total;1.812
28018:Becerril de la Sierra;Total;714
28019:Belmonte de Tajo;Total;2.087
28021:Berrueco (El);Total;793
28020:Berzosa del Lozoya;Total;902
28022:Boadilla del Monte;Total;278
28023:Boalo (El);Total;1.849
28024:Braojos;Total;2.128
28025:Brea de Tajo;Total;3.080
28026:Brunete;Total;5.545
28027:Buitrago del Lozoya;Total;2.111
28028:Bustarviejo;Total;5.144
28029:Cabanillas de la Sierra;Total;1.138
28030:Cabrera (La);Total;1.319
28031:Cadalso de los Vidrios;Total;3.276
28032:Camarma de Esteruelas;Total;2.554
28033:Campo Real;Total;3.934
28034:Canencia;Total;3.846
28035:Carabaña;Total;2.498
28036:Casarrubuelos;Total;114
28037:Cenicientos;Total;6.861
28038:Cercedilla;Total;2.712
28039:Cervera de Buitrago;Total;176
28040:Ciempozuelos;Total;2.517
28041:Cobeña;Total;1.242
28043:Colmenar de Oreja;Total;10.737
28042:Colmenar del Arroyo;Total;2.689
28045:Colmenar Viejo;Total;16.874
28044:Colmenarejo;Total;1.248
28046:Collado Mediano;Total;1.135
28047:Collado Villalba;Total;1.296
28048:Corpa;Total;2.213
28049:Coslada;Total;49
28050:Cubas de la Sagra;Total;680
28051:Chapinería;Total;989
28052:Chinchón;Total;9.502
28053:Daganzo de Arriba;Total;5.055
28054:Escorial (El);Total;2.322
28055:Estremera;Total;6.271
28056:Fresnedillas de la Oliva;Total;1.805
28057:Fresno de Torote;Total;2.155
28058:Fuenlabrada;Total;1.458
28059:Fuente el Saz de Jarama;Total;2.498
28060:Fuentidueña de Tajo;Total;4.849
28061:Galapagar;Total;3.532
28062:Garganta de los Montes;Total;2.495
28063:Gargantilla del Lozoya;Total;986
28064:Gascones;Total;1.672
28065:Getafe;Total;4.636
28066:Griñón;Total;921
28067:Guadalix de la Sierra;Total;5.120
28068:Guadarrama;Total;3.442
28069:Hiruela (La);Total;900
28070:Horcajo de la Sierra;Total;863
28071:Horcajuelo de la Sierra;Total;1.523
28072:Hoyo de Manzanares;Total;2.272
28073:Humanes de Madrid;Total;1.896
28074:Leganés;Total;2.095
28075:Loeches;Total;3.928
28076:Lozoya;Total;4.436
28901:Lozoyuela-Navas-Sieteiglesias;Total;3.301
28078:Madarcos;Total;642
28079:Madrid;Total;24.234
28080:Majadahonda;Total;1.030
28082:Manzanares el Real;Total;16.116
28083:Meco;Total;3.184
28084:Mejorada del Campo;Total;785
28085:Miraflores de la Sierra;Total;6.780
28086:Molar (El);Total;2.430
28087:Molinos (Los);Total;1.188
28088:Montejo de la Sierra;Total;2.696
28089:Moraleja de Enmedio;Total;1.876
28090:Moralzarzal;Total;1.752
28091:Morata de Tajuña;Total;3.089
28092:Móstoles;Total;2.559
28093:Navacerrada;Total;1.732
28094:Navalafuente;Total;441
28095:Navalagamella;Total;5.476
28096:Navalcarnero;Total;8.372
28097:Navarredonda;Total;2.055
28099:Navas del Rey;Total;3.897
28100:Nuevo Baztán;Total;1.511
28101:Olmeda de las Fuentes;Total;1.404
28102:Orusco de Tajuña;Total;1.251
28104:Paracuellos de Jarama;Total;4.671
28106:Parla;Total;2.446
28107:Patones;Total;1.006
28108:Pedrezuela;Total;994
28109:Pelayos de la Presa;Total;209
28110:Perales de Tajuña;Total;2.167
28111:Pezuela de las Torres;Total;3.325
28112:Pinilla del Valle;Total;1.492
28113:Pinto;Total;7.062
28114:Piñuécar;Total;1.114
28115:Pozuelo de Alarcón;Total;347
28116:Pozuelo del Rey;Total;2.745
28117:Prádena del Rincón;Total;946
28118:Puebla de la Sierra;Total;5.771
28902:Puentes Viejas;Total;3.857
28119:Quijorna;Total;2.766
28120:Rascafría;Total;12.454
28121:Redueña;Total;656
28122:Ribatejada;Total;1.956
28123:Rivas-Vaciamadrid;Total;2.827
28124:Robledillo de la Jara;Total;1.618
28125:Robledo de Chavela;Total;5.967
28126:Robregordo;Total;1.598
28127:Rozas de Madrid (Las);Total;1.637
28128:Rozas de Puerto Real;Total;2.741
28129:San Agustín de Guadalix;Total;2.171
28130:San Fernando de Henares;Total;1.842
28131:San Lorenzo de El Escorial;Total;4.753
28132:San Martín de la Vega;Total;7.114
28133:San Martín de Valdeiglesias;Total;9.513
28134:San Sebastián de los Reyes;Total;2.227
28135:Santa María de la Alameda;Total;6.698
28136:Santorcaz;Total;1.671
28137:Santos de la Humosa (Los);Total;3.544
28138:Serna del Monte (La);Total;170
28140:Serranillos del Valle;Total;918
28141:Sevilla la Nueva;Total;2.213
28143:Somosierra;Total;1.303
28144:Soto del Real;Total;2.148
28145:Talamanca de Jarama;Total;2.480
28146:Tielmes;Total;1.730
28147:Titulcia;Total;699
28148:Torrejón de Ardoz;Total;730
28149:Torrejón de la Calzada;Total;668
28150:Torrejón de Velasco;Total;4.945
28151:Torrelaguna;Total;2.486
28152:Torrelodones;Total;728
28153:Torremocha de Jarama;Total;1.641
28154:Torres de la Alameda;Total;3.824
28903:Tres Cantos;Total;1.644
28155:Valdaracete;Total;5.271
28156:Valdeavero;Total;2.024
28157:Valdelaguna;Total;2.564
28158:Valdemanco;Total;539
28159:Valdemaqueda;Total;4.410
28160:Valdemorillo;Total;5.837
28161:Valdemoro;Total;2.124
28162:Valdeolmos-Alalpardo;Total;3.336
28163:Valdepiélagos;Total;1.506
28164:Valdetorres de Jarama;Total;3.234
28165:Valdilecha;Total;5.607
28166:Valverde de Alcalá;Total;657
28167:Velilla de San Antonio;Total;823
28168:Vellón (El);Total;1.428
28169:Venturada;Total;422
28171:Villa del Prado;Total;5.172
28170:Villaconejos;Total;2.807
28172:Villalbilla;Total;2.597
28173:Villamanrique de Tajo;Total;2.461
28174:Villamanta;Total;4.297
28175:Villamantilla;Total;3.130
28176:Villanueva de la Cañada;Total;1.642
28178:Villanueva de Perales;Total;2.527
28177:Villanueva del Pardillo;Total;2.175
28179:Villar del Olmo;Total;1.186
28180:Villarejo de Salvanés;Total;10.064
28181:Villaviciosa de Odón;Total;4.198
28182:Villavieja del Lozoya;Total;2.125
28183:Zarzalejo;Total;852
