Codigo_Valor;Nombre;Valor;Year;Indicador;lau_id
2.9-2023-280014;Acebeda (La);88.477;2023;2.9;280014
2.9-2023-280029;Ajalvir;34.911;2023;2.9;280029
2.9-2023-280035;Alameda del Valle;92.242;2023;2.9;280035
2.9-2023-280040;Alamo (El);42.104;2023;2.9;280040
2.9-2023-280053;Alcalá de Henares;32.76;2023;2.9;280053
2.9-2023-280066;Alcobendas;18.193;2023;2.9;280066
2.9-2023-280072;Alcorcón;18.087;2023;2.9;280072
2.9-2023-280088;Aldea del Fresno;56.001;2023;2.9;280088
2.9-2023-280091;Algete;32.758;2023;2.9;280091
2.9-2023-280105;Alpedrete;43.979;2023;2.9;280105
2.9-2023-280112;Ambite;54.784;2023;2.9;280112
2.9-2023-280127;Anchuelo;42.201;2023;2.9;280127
2.9-2023-280133;Aranjuez;48.903;2023;2.9;280133
2.9-2023-280148;Arganda del Rey;28.644;2023;2.9;280148
2.9-2023-280151;Arroyomolinos;31.45;2023;2.9;280151
2.9-2023-280164;Atazar (El);84.846;2023;2.9;280164
2.9-2023-280170;Batres;37.802;2023;2.9;280170
2.9-2023-280186;Becerril de la Sierra;50.448;2023;2.9;280186
2.9-2023-280199;Belmonte de Tajo;57.499;2023;2.9;280199
2.9-2023-280210;Berrueco (El);66.347;2023;2.9;280210
2.9-2023-280203;Berzosa del Lozoya;82.228;2023;2.9;280203
2.9-2023-280225;Boadilla del Monte;24.652;2023;2.9;280225
2.9-2023-280231;Boalo (El);55.387;2023;2.9;280231
2.9-2023-280246;Braojos;83.276;2023;2.9;280246
2.9-2023-280259;Brea de Tajo;65.168;2023;2.9;280259
2.9-2023-280262;Brunete;38.308;2023;2.9;280262
2.9-2023-280278;Buitrago del Lozoya;76.377;2023;2.9;280278
2.9-2023-280284;Bustarviejo;64.721;2023;2.9;280284
2.9-2023-280297;Cabanillas de la Sierra;55.486;2023;2.9;280297
2.9-2023-280301;Cabrera (La);60.42;2023;2.9;280301
2.9-2023-280318;Cadalso de los Vidrios;89.965;2023;2.9;280318
2.9-2023-280323;Camarma de Esteruelas;37.479;2023;2.9;280323
2.9-2023-280339;Campo Real;34.635;2023;2.9;280339
2.9-2023-280344;Canencia;82.184;2023;2.9;280344
2.9-2023-280357;Carabaña;53.449;2023;2.9;280357
2.9-2023-280360;Casarrubuelos;33.936;2023;2.9;280360
2.9-2023-280376;Cenicientos;95.124;2023;2.9;280376
2.9-2023-280382;Cercedilla;57.007;2023;2.9;280382
2.9-2023-280395;Cervera de Buitrago;82.105;2023;2.9;280395
2.9-2023-280513;Chapinería;57.258;2023;2.9;280513
2.9-2023-280528;Chinchón;45.592;2023;2.9;280528
2.9-2023-280409;Ciempozuelos;35.54;2023;2.9;280409
2.9-2023-280416;Cobeña;34.59;2023;2.9;280416
2.9-2023-280468;Collado Mediano;47.487;2023;2.9;280468
2.9-2023-280474;Collado Villalba;42.565;2023;2.9;280474
2.9-2023-280455;Colmenar Viejo;32.965;2023;2.9;280455
2.9-2023-280437;Colmenar de Oreja;57.211;2023;2.9;280437
2.9-2023-280421;Colmenar del Arroyo;61.175;2023;2.9;280421
2.9-2023-280442;Colmenarejo;37.111;2023;2.9;280442
2.9-2023-280480;Corpa;46.516;2023;2.9;280480
2.9-2023-280493;Coslada;12.887;2023;2.9;280493
2.9-2023-280506;Cubas de la Sagra;36.177;2023;2.9;280506
2.9-2023-280534;Daganzo de Arriba;36.597;2023;2.9;280534
2.9-2023-280549;Escorial (El);51.323;2023;2.9;280549
2.9-2023-280552;Estremera;72.696;2023;2.9;280552
2.9-2023-280565;Fresnedillas de la Oliva;69.753;2023;2.9;280565
2.9-2023-280571;Fresno de Torote;46.99;2023;2.9;280571
2.9-2023-280587;Fuenlabrada;25.824;2023;2.9;280587
2.9-2023-280590;Fuente el Saz de Jarama;36.187;2023;2.9;280590
2.9-2023-280604;Fuentidueña de Tajo;63.685;2023;2.9;280604
2.9-2023-280611;Galapagar;35.516;2023;2.9;280611
2.9-2023-280626;Garganta de los Montes;79.318;2023;2.9;280626
2.9-2023-280632;Gargantilla del Lozoya y Pinilla de Buitrago;81.426;2023;2.9;280632
2.9-2023-280647;Gascones;80.024;2023;2.9;280647
2.9-2023-280650;Getafe;17.416;2023;2.9;280650
2.9-2023-280663;Griñón;33.337;2023;2.9;280663
2.9-2023-280679;Guadalix de la Sierra;58.847;2023;2.9;280679
2.9-2023-280685;Guadarrama;50.794;2023;2.9;280685
2.9-2023-280698;Hiruela (La);97.734;2023;2.9;280698
2.9-2023-280702;Horcajo de la Sierra-Aoslos;89.479;2023;2.9;280702
2.9-2023-280719;Horcajuelo de la Sierra;94.536;2023;2.9;280719
2.9-2023-280724;Hoyo de Manzanares;36.584;2023;2.9;280724
2.9-2023-280730;Humanes de Madrid;31.246;2023;2.9;280730
2.9-2023-280745;Leganés;16.847;2023;2.9;280745
2.9-2023-280758;Loeches;28.433;2023;2.9;280758
2.9-2023-280761;Lozoya;85.605;2023;2.9;280761
2.9-2023-289015;Lozoyuela-Navas-Sieteiglesias;68.104;2023;2.9;289015
2.9-2023-280783;Madarcos;92.498;2023;2.9;280783
2.9-2023-280800;Majadahonda;19.7;2023;2.9;280800
2.9-2023-280822;Manzanares el Real;51.894;2023;2.9;280822
2.9-2023-280838;Meco;48.983;2023;2.9;280838
2.9-2023-280843;Mejorada del Campo;21.041;2023;2.9;280843
2.9-2023-280856;Miraflores de la Sierra;55.446;2023;2.9;280856
2.9-2023-280869;Molar (El);43.648;2023;2.9;280869
2.9-2023-280875;Molinos (Los);55.681;2023;2.9;280875
2.9-2023-280881;Montejo de la Sierra;87.651;2023;2.9;280881
2.9-2023-280894;Moraleja de Enmedio;27.17;2023;2.9;280894
2.9-2023-280908;Moralzarzal;46.641;2023;2.9;280908
2.9-2023-280915;Morata de Tajuña;34.745;2023;2.9;280915
2.9-2023-280920;Móstoles;24.488;2023;2.9;280920
2.9-2023-280936;Navacerrada;52.561;2023;2.9;280936
2.9-2023-280941;Navalafuente;59.831;2023;2.9;280941
2.9-2023-280954;Navalagamella;56.822;2023;2.9;280954
2.9-2023-280967;Navalcarnero;36.609;2023;2.9;280967
2.9-2023-280973;Navarredonda y San Mamés;85.319;2023;2.9;280973
2.9-2023-280992;Navas del Rey;60.506;2023;2.9;280992
2.9-2023-281006;Nuevo Baztán;48.3;2023;2.9;281006
2.9-2023-281013;Olmeda de las Fuentes;53.406;2023;2.9;281013
2.9-2023-281028;Orusco de Tajuña;57.456;2023;2.9;281028
2.9-2023-281049;Paracuellos de Jarama;24.676;2023;2.9;281049
2.9-2023-281065;Parla;23.672;2023;2.9;281065
2.9-2023-281071;Patones;65.895;2023;2.9;281071
2.9-2023-281087;Pedrezuela;45.794;2023;2.9;281087
2.9-2023-281090;Pelayos de la Presa;71.93;2023;2.9;281090
2.9-2023-281104;Perales de Tajuña;40.166;2023;2.9;281104
2.9-2023-281111;Pezuela de las Torres;51.574;2023;2.9;281111
2.9-2023-281126;Pinilla del Valle;91.312;2023;2.9;281126
2.9-2023-281132;Pinto;23.546;2023;2.9;281132
2.9-2023-281147;Piñuécar-Gandullas;83.028;2023;2.9;281147
2.9-2023-281150;Pozuelo de Alarcón;18.056;2023;2.9;281150
2.9-2023-281163;Pozuelo del Rey;41.51;2023;2.9;281163
2.9-2023-281179;Prádena del Rincón;85.383;2023;2.9;281179
2.9-2023-281185;Puebla de la Sierra;103.62;2023;2.9;281185
2.9-2023-289020;Puentes Viejas;75.189;2023;2.9;289020
2.9-2023-281198;Quijorna;45.968;2023;2.9;281198
2.9-2023-281202;Rascafría;95.391;2023;2.9;281202
2.9-2023-281219;Redueña;56.05;2023;2.9;281219
2.9-2023-281224;Ribatejada;51.73;2023;2.9;281224
2.9-2023-281230;Rivas-Vaciamadrid;16.274;2023;2.9;281230
2.9-2023-281245;Robledillo de la Jara;79.092;2023;2.9;281245
2.9-2023-281258;Robledo de Chavela;74.92;2023;2.9;281258
2.9-2023-281261;Robregordo;89.533;2023;2.9;281261
2.9-2023-281277;Rozas de Madrid (Las);19.981;2023;2.9;281277
2.9-2023-281283;Rozas de Puerto Real;92.193;2023;2.9;281283
2.9-2023-281296;San Agustín del Guadalix;36.132;2023;2.9;281296
2.9-2023-281300;San Fernando de Henares;18.348;2023;2.9;281300
2.9-2023-281317;San Lorenzo de El Escorial;62.624;2023;2.9;281317
2.9-2023-281338;San Martín de Valdeiglesias;78.77;2023;2.9;281338
2.9-2023-281322;San Martín de la Vega;30.402;2023;2.9;281322
2.9-2023-281343;San Sebastián de los Reyes;20.284;2023;2.9;281343
2.9-2023-281356;Santa María de la Alameda;70.111;2023;2.9;281356
2.9-2023-281369;Santorcaz;45.724;2023;2.9;281369
2.9-2023-281375;Santos de la Humosa (Los);46.496;2023;2.9;281375
2.9-2023-281381;Serna del Monte (La);80.844;2023;2.9;281381
2.9-2023-281408;Serranillos del Valle;35.694;2023;2.9;281408
2.9-2023-281415;Sevilla la Nueva;42.875;2023;2.9;281415
2.9-2023-281436;Somosierra;93.268;2023;2.9;281436
2.9-2023-281441;Soto del Real;44.268;2023;2.9;281441
2.9-2023-281454;Talamanca de Jarama;47.636;2023;2.9;281454
2.9-2023-281467;Tielmes;45.405;2023;2.9;281467
2.9-2023-281473;Titulcia;40.449;2023;2.9;281473
2.9-2023-281489;Torrejón de Ardoz;22.712;2023;2.9;281489
