Serie;Codigo_municipio;Nombre;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;12578;12549;
Zonas Estadísticas;01;Municipio de Madrid ;4541;4553;
Zonas Estadísticas;02;Norte Metropolitano ;731;745;
Zonas Estadísticas;03;Este Metropolitano  ;2153;2108;
Zonas Estadísticas;04;Sur Metropolitano   ;3089;3062;
Zonas Estadísticas;05;Oeste Metropolitano ;666;682;
Zonas Estadísticas;06;Sierra Norte        ;72;73;
Zonas Estadísticas;07;Nordeste Comunidad  ;197;211;
Zonas Estadísticas;08;Sudeste Comunidad   ;354;359;
Zonas Estadísticas;09;Sudoeste Comunidad  ;468;452;
Zonas Estadísticas;10;Sierra Sur          ;55;57;
Zonas Estadísticas;11;Sierra Central      ;252;247;
Municipios;0014;Acebeda (La);0;0;
Municipios;0029;Ajalvir;97;87;
Municipios;0035;Alameda del Valle;0;0;
Municipios;0040;Alamo (El);24;23;
Municipios;0053;Alcalá de Henares;364;358;
Municipios;0066;Alcobendas;220;228;
Municipios;0072;Alcorcón;308;301;
Municipios;0088;Aldea del Fresno;1;0;
Municipios;0091;Algete;95;94;
Municipios;0105;Alpedrete;24;27;
Municipios;0112;Ambite;1;2;
Municipios;0127;Anchuelo;3;3;
Municipios;0133;Aranjuez;47;57;
Municipios;0148;Arganda del Rey;537;520;
Municipios;0151;Arroyomolinos;57;54;
Municipios;0164;Atazar (El);0;0;
Municipios;0170;Batres;1;1;
Municipios;0186;Becerril de la Sierra;7;8;
Municipios;0199;Belmonte de Tajo;1;0;
Municipios;0210;Berrueco (El);1;1;
Municipios;0203;Berzosa del Lozoya;0;0;
Municipios;0225;Boadilla del Monte;79;86;
Municipios;0231;Boalo (El);17;18;
Municipios;0246;Braojos;0;0;
Municipios;0259;Brea de Tajo;0;0;
Municipios;0262;Brunete;21;21;
Municipios;0278;Buitrago del Lozoya;0;1;
Municipios;0284;Bustarviejo;3;3;
Municipios;0297;Cabanillas de la Sierra;1;1;
Municipios;0301;Cabrera (La);2;2;
Municipios;0318;Cadalso de los Vidrios;6;7;
Municipios;0323;Camarma de Esteruelas;28;32;
Municipios;0339;Campo Real;34;38;
Municipios;0344;Canencia;2;1;
Municipios;0357;Carabaña;9;11;
Municipios;0360;Casarrubuelos;24;26;
Municipios;0376;Cenicientos;1;1;
