Serie;Codigo_municipio;Nombre;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados;densidad_poblacion;ocupados_primario;ocupados_secundario;ocupados_terciario;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_primario;paro_secundario;paro_terciario;poblacion_censada;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;unidades_productivas_total;afiliados_30a49;afiliados_mayores_50;afiliados_menores_18;afiliados_menores_30;afiliados_total;porcentaje_30a49;porcentaje_mayores_50;porcentaje_menores_30;censo_0a4;censo_5a9;censo_10a14;censo_15a19;censo_20a24;censo_25a29;censo_30a34;censo_35a39;censo_40a44;censo_45a49;censo_50a54;censo_55a59;censo_60a64;censo_65a69;censo_70a74;censo_75a79;censo_80a84;censo_85a89;censo_90a94;censo_95a99;censo_100;censo_total;crecimiento_relativo_poblacion;edad_media_total;grado_envejecimiento_mayores_45;grado_envejecimiento_mayores_55;grado_envejecimiento_mayores_65;grado_envejecimiento_mayores_75;grado_envejecimiento_mayores_85;grado_juventud_menores_15;grado_juventud_menores_25;grado_juventud_menores_35;grado_juventud_menores_45;ocupados_total;paro_25_44;paro_mayores_25;paro_mayores_45;paro_menores_25;paro_100_habitantes;paro_registrado_total;porcentaje_mayores_25;porcentaje_menores_25;variacion_paro_registrado;sector
Comunidad de Madrid;;Comunidad de Madrid;0;0;0;0;3500;3335;6835;147188;86823;234011;1032501;881813;1010490;1892303;1100648;48.40;51.60;2133149;844.23;7790;574107;6436414;77.16;4.91;19.18;3033.3;0.15;1180.09;98.85;118.59;499.23;1627.75;2858;50537;287492;96.113;4821;113402;1412874;752538;1830562;1109294;353;597798;3537654;51.75;31.36;16.90;269120;330560;367599;366978;372574;407555;435389;464923;546275;597127;542877;489564;414824;339376;298329;253085;166755;126154;63574;17054;2211;6871903;1.91;43.10;48.18;31.59;18.43;9.15;3.04;14.08;24.84;37.10;51.82;3646529;118.59;499.23;1627.75;113560;291820;178260;23162;4.59;314982;Terciario
Zonas Estadísticas;01;Municipio de Madrid ;280796;01;Municipio de Madrid;604.66;1603;1478;3081;74090;32251;106341;666176;590483;657690;1248173;691419;49.07;50.93;1357595;5512.13;2505;206557;4004353;1.09;0.03;0.12;20.3;0.0;0.72;98.85;118.59;499.23;1627.75;1152;20347;139724;96.113;1499;41056;815868;424848;758224;521269;103;214508;1494001;50.75;34.89;14.36;124448;140109;150484;154206;180665;228310;239794;231133;248990;265700;251449;241670;209042;165765;143320;132034;98336;80430;41780;11079;1432;3340176;2.24;44.35;49.16;33.68;20.18;10.93;4.03;12.43;22.45;36.47;50.84;2220038;118.59;499.23;1627.75;54392;138992;84600;10271;4.48;149263;Terciario
Zonas Estadísticas;02;Norte Metropolitano ;0;0;0;0;123;162;285;8901;7264;16165;57355;48331;53526;101857;60952;48.48;51.52;118307;832.48;584;53490;412393;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;74;1936;12199;0;284;5909;74527;39624;82555;55087;13;23936;161578;51.09;34.09;14.81;15539;20773;22549;21647;20516;19588;20609;24291;30049;33132;29135;25743;21146;16503;14808;11337;6277;4257;2112;612;65;360688;2.09;41.12;45.78;28.52;15.52;6.84;1.95;16.32;28.01;39.15;54.22;237210;0;0;0;4440;11985;7545;772;3.53;12757;Terciario
Zonas Estadísticas;03;Este Metropolitano  ;0;0;0;0;144;79;223;20173;17607;37780;77781;57464;68494;125958;86180;47.44;52.56;163961;1604.47;316;97033;473837;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;370;7394;30161;0;236;16646;105579;59022;157943;95669;35;42126;295738;53.41;32.35;14.24;28669;36120;40063;39153;35815;35264;41094;48876;59875;63880;54978;47674;41358;36231;29523;20816;11757;7870;3671;974;114;683775;1.59;41.77;46.63;29.25;16.23;6.61;1.85;15.33;26.30;37.47;53.37;285030;0;0;0;12675;32385;19710;2911;5.15;35296;Terciario
Zonas Estadísticas;04;Sur Metropolitano   ;0;0;0;0;260;651;911;27154;18126;45280;121260;93846;131144;224990;149921;44.72;55.28;271181;1779.38;789;142824;796908;0.49;0.37;0.68;329.54;0.01;31.72;0;0;0;0;666;13704;64238;0;582;27764;186456;104038;311559;182923;61;82355;576837;54.01;31.71;14.28;53278;70105;79217;75490;69437;67417;75393;90545;116947;127502;107246;88531;75297;69942;68221;55281;29610;18172;7748;1970;286;1347635;1.16;42.74;48.22;30.80;18.64;8.39;2.09;15.03;25.79;36.39;51.78;471069;0;0;0;26582;65587;39005;6114;5.33;71701;Terciario
Zonas Estadísticas;05;Oeste Metropolitano ;0;0;0;0;139;195;334;5911;1773;7684;61567;55517;53096;108613;55064;52.79;47.21;116631;1015.02;921;22022;466848;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;106;1959;15775;0;309;6468;132577;69071;103948;84791;24;32925;221664;46.89;38.25;14.85;21287;28698;34812;37473;33439;28091;26005;29630;37023;46165;45868;40097;31832;23882;21051;16842;9902;6659;3450;1046;144;523396;1.85;41.24;47.18;29.60;15.85;7.27;2.16;16.20;29.75;40.09;52.82;256846;0;0;0;5111;15364;10253;815;3.10;16179;Terciario
Zonas Estadísticas;06;Sierra Norte        ;0;0;0;0;37;15;52;890;2031;2921;5560;4633;5534;10167;7580;42.31;57.69;13140;32.28;353;2012;21656;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;39;338;1825;0;261;1010;7945;4531;8049;6338;7;2357;16744;48.07;37.85;14.08;1793;2372;2684;2482;2235;2139;2358;2909;3926;4554;4177;3705;2938;2331;1855;1481;1027;888;498;165;24;46541;2.34;43.56;50.80;32.04;17.77;8.77;3.38;14.72;24.85;34.51;49.20;15026;0;0;0;770;2125;1355;121;4.83;2246;Terciario
Zonas Estadísticas;07;Nordeste Comunidad  ;0;0;0;0;51;24;75;1950;3572;5522;5971;3970;10698;14668;14294;29.46;70.54;20265;167.98;219;11019;36869;0.3;0.16;0.53;278.13;0.01;29.2;0;0;0;0;31;640;2975;0;151;2093;10962;6319;13591;9376;4;4021;26988;50.36;34.74;14.90;3007;4003;4955;4722;3958;3431;4011;4834;6346;7376;6579;5159;3849;2702;2051;1593;867;731;341;87;12;70614;2.35;39.80;44.39;24.63;11.87;5.14;1.66;16.94;29.24;39.78;55.61;23456;0;0;0;1120;3090;1970;271;4.77;3361;Terciario
Zonas Estadísticas;08;Sudeste Comunidad   ;0;0;0;0;715;483;1198;2197;1992;4189;8463;5551;7065;12616;9540;47.01;52.99;18003;74.87;955;14448;46713;0.97;1.44;1.66;799.13;0.04;63.53;0;0;0;0;185;1498;5175;0;664;3634;16980;10147;22774;14330;14;6379;43483;52.37;32.96;14.67;5068;6428;6972;6793;5760;5595;6891;8497;10516;10831;9417;8231;7088;5429;4146;3209;2092;1811;951;269;22;116016;2.28;41.61;46.11;28.66;15.45;7.20;2.63;15.92;26.74;37.50;53.89;31471;0;0;0;2405;6083;3678;535;5.71;6618;Terciario
Zonas Estadísticas;09;Sudoeste Comunidad  ;0;0;0;0;317;70;387;3666;1348;5014;15492;11509;10712;22221;12130;56.09;43.91;27622;242.87;562;15290;78504;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;102;1221;5860;0;416;4590;23999;13962;31228;18881;12;8704;58813;53.10;32.10;14.80;7792;10659;11623;10269;7938;6891;8146;11407;15685;16395;12945;10065;7525;5948;4710;3469;2157;1873;1105;324;37;156963;2.36;39.17;42.40;23.71;12.50;5.71;2.13;19.16;30.76;40.34;57.60;50164;0;0;0;2645;6378;3733;640;4.49;7018;Terciario
Zonas Estadísticas;10;Sierra Sur          ;0;0;0;0;65;126;191;555;397;952;2449;1829;2185;4014;2708;47.49;52.51;5157;49.44;268;2339;16236;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;73;411;2092;0;187;979;5675;3338;6287;4566;2;1884;12737;49.36;35.85;14.79;1581;1880;2311;2123;1978;1876;2027;2530;2988;3399;3193;3179;2584;2076;1738;1438;1000;779;475;126;19;39300;2.26;43.96;50.91;34.13;19.47;9.76;3.56;14.69;25.12;35.05;49.09;10453;0;0;0;918;2366;1448;215;6.58;2581;Terciario
Zonas Estadísticas;11;Sierra Central      ;0;0;0;0;46;52;98;1701;462;2163;10427;8680;10346;19026;10860;48.98;51.02;21287;224.43;318;7073;82097;0.23;0.21;3.73;316.73;0.01;300.54;0;0;0;0;60;1089;7468;0;232;3253;32306;17638;34628;29859;9;10619;75106;46.11;39.76;14.14;6658;9413;11929;12620;10833;8953;9061;10271;13930;18193;17890;15510;12165;8567;6906;5585;3730;2684;1443;402;56;186799;1.48;42.32;49.86;30.54;15.72;7.44;2.45;14.99;27.54;37.19;50.14;45766;0;0;0;2502;7465;4963;497;4.27;7962;Terciario
Municipios;0014;Acebeda (La);280014;06;Sierra Norte;21.86;4;0;4;153;1797;1950;1147;990;729;1719;2526;31.23;68.77;3673;3.11;0;21;119;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;1;6;65;0;7;52;28;10;22;0;1;33;30.30;66.67;3.03;0;0;2;0;0;3;3;2;0;3;3;6;11;11;11;3;3;3;1;2;0;67;8.06;62.68;85.07;76.12;50.75;17.91;8.96;2.99;2.99;11.94;14.93;75;0;0;0;2;6;4;0;8.96;6;Terciario
Municipios;0029;Ajalvir;280029;03;Este Metropolitano;19.80;1;0;1;458;330;788;1182;723;713;1436;1043;53.12;46.88;2225;238.43;11;4389;8193;0.19;0.0;0.01;11.77;0.0;0.11;0;0;0;0;5;38;187;4.721;10;553;1629;983;1017;701;1;256;1974;51.52;35.51;12.97;193;212;277;295;275;291;302;379;435;579;463;361;253;166;138;114;61;47;23;9;2;4875;1.04;40.63;45.46;24.08;11.49;5.25;1.66;13.99;25.68;37.85;54.54;5938;0;0;0;89;196;107;11;4.33;207;Terciario
Municipios;0035;Alameda del Valle;280035;06;Sierra Norte;25.70;0;0;0;13;2;15;172;159;75;234;77;69.08;30.92;249;7.93;5;3;174;0.15;0.01;0.14;8.72;0.0;8.72;0;0;0;0;0;1;7;4.291;5;1;60;33;33;34;0;12;79;41.77;43.04;15.19;7;13;13;9;9;9;16;12;13;26;25;32;22;22;16;11;9;8;2;1;0;275;13.64;48.61;63.27;44.73;25.09;11.27;4.00;12.00;18.55;27.64;36.73;141;0;0;0;9;19;10;0;6.93;19;Terciario
Municipios;0040;Alamo (El);280040;09;Sudoeste Comunidad;22.00;7;3;10;114;50;164;687;566;518;1084;571;54.61;45.39;1258;448.07;15;410;3518;0.72;0.05;0.04;17.52;0.0;1.01;0;0;0;0;4;94;441;2.004;14;244;1347;778;1778;1225;0;590;3593;49.49;34.09;16.42;447;574;609;667;560;526;564;642;811;913;850;722;521;437;387;330;267;223;181;62;5;10298;1.96;42.59;47.56;30.44;18.37;10.37;4.57;15.83;27.74;38.33;52.44;2360;0;0;0;216;477;261;53;5.13;530;Terciario
Municipios;0053;Alcalá de Henares;280053;03;Este Metropolitano;88.11;49;24;73;5630;9088;14718;21030;15351;23949;39300;33061;38.88;61.12;54091;2245.28;78;24451;145121;0.21;0.01;0.01;22.59;0.0;10.0;97.74;75.94;148.2;111.15;69;2484;9333;197.562;64;3535;29128;15975;42786;27309;6;11870;81965;52.20;33.32;14.48;7462;8753;10373;11328;10718;10669;11628;12963;15302;17758;16537;14183;12104;11076;9673;7910;4887;3209;1374;399;42;198348;1.19;43.65;49.99;32.70;19.45;8.98;2.53;13.40;24.52;35.76;50.01;84334;75.94;148.2;111.15;3901;10075;6174;869;5.49;10944;Terciario
Municipios;0066;Alcobendas;280066;02;Norte Metropolitano;45.24;32;49;81;3101;3173;6274;26043;22910;18817;41727;22039;54.16;45.84;48082;2615.79;78;17964;196108;0.0;0.0;0.0;0.0;0.0;0.0;0;0;285.09;385.13;22;565;4151;118.417;51;1743;28921;15146;28702;18536;3;8144;55382;51.83;33.47;14.71;4764;6557;7377;7083;6760;6776;6969;7688;9602;11030;9505;8226;6452;5336;5564;4777;2577;1495;721;188;24;119471;2.17;41.86;46.79;29.60;17.31;8.19;2.03;15.65;27.24;38.74;53.21;111011;0;285.09;385.13;1440;3897;2457;247;3.47;4144;Terciario
Municipios;0072;Alcorcón;280072;04;Sur Metropolitano;33.57;40;68;108;2456;1879;4335;16278;13782;16614;30396;18561;46.72;53.28;34839;5130.48;37;12157;113778;0.09;0.0;0.01;2.74;0.0;0.38;50.0;28.35;0;0;61;1378;7596;172.384;36;2816;25995;14115;39400;26198;9;10220;75818;51.97;34.55;13.48;5956;8044;9031;9557;8945;8022;8355;9931;13700;16690;15306;11620;8659;7694;9870;10394;6064;3324;1282;357;44;172845;0.82;45.12;52.82;34.31;22.58;12.42;2.90;13.32;24.03;33.50;47.18;67446;28.35;0;0;2680;7386;4706;655;4.68;8041;Terciario
