Serie;Codigo_municipio;Nombre;afiliados_30a49_2022;afiliados_30a49_2023;afiliados_mayores_50_2022;afiliados_mayores_50_2023;afiliados_menores_18_2022;afiliados_menores_18_2023;afiliados_menores_30_2022;afiliados_menores_30_2023;afiliados_total_2022;afiliados_total_2023;porcentaje_30a49_2022;porcentaje_30a49_2023;porcentaje_mayores_50_2022;porcentaje_mayores_50_2023;porcentaje_menores_30_2022;porcentaje_menores_30_2023
Comunidad de Madrid;;Comunidad de Madrid;1798795;1830562;1048982;1109294;296;353;557856;597798;3405633;3537654;52.82;51.75;30.80;31.36;16.38;16.90
Zonas Estadísticas;01;Municipio de Madrid ;751546;758224;498488;521269;85;103;201200;214508;1451234;1494001;51.79;50.75;34.35;34.89;13.86;14.36
Zonas Estadísticas;02;Norte Metropolitano ;81659;82555;52042;55087;13;13;22676;23936;156377;161578;52.22;51.09;33.28;34.09;14.50;14.81
Zonas Estadísticas;03;Este Metropolitano  ;157571;157943;90949;95669;41;35;40530;42126;289050;295738;54.51;53.41;31.46;32.35;14.02;14.24
Zonas Estadísticas;04;Sur Metropolitano   ;312450;311559;172142;182923;68;61;78437;82355;563029;576837;55.49;54.01;30.57;31.71;13.93;14.28
Zonas Estadísticas;05;Oeste Metropolitano ;103819;103948;80061;84791;12;24;30904;32925;214784;221664;48.34;46.89;37.28;38.25;14.39;14.85
Zonas Estadísticas;06;Sierra Norte        ;8063;8049;6001;6338;7;7;2210;2357;16274;16744;49.55;48.07;36.87;37.85;13.58;14.08
Zonas Estadísticas;07;Nordeste Comunidad  ;13622;13591;8631;9376;8;4;3785;4021;26038;26988;52.32;50.36;33.15;34.74;14.54;14.90
Zonas Estadísticas;08;Sudeste Comunidad   ;22761;22774;13416;14330;14;14;6095;6379;42272;43483;53.84;52.37;31.74;32.96;14.42;14.67
Zonas Estadísticas;09;Sudoeste Comunidad  ;30584;31228;17376;18881;10;12;8162;8704;56122;58813;54.50;53.10;30.96;32.10;14.54;14.80
Zonas Estadísticas;10;Sierra Sur          ;6236;6287;4286;4566;2;2;1795;1884;12317;12737;50.63;49.36;34.80;35.85;14.57;14.79
Zonas Estadísticas;11;Sierra Central      ;34801;34628;27890;29859;7;9;9911;10619;72602;75106;47.93;46.11;38.41;39.76;13.65;14.14
Municipios;0014;Acebeda (La);14;10;20;22;0;0;1;1;35;33;40.00;30.30;57.14;66.67;2.86;3.03
Municipios;0029;Ajalvir;1001;1017;628;701;1;1;245;256;1874;1974;53.42;51.52;33.51;35.51;13.07;12.97
Municipios;0035;Alameda del Valle;36;33;36;34;0;0;10;12;82;79;43.90;41.77;43.90;43.04;12.20;15.19
