Serie;Codigo_municipio;Nombre;censo_0a4_2022;censo_0a4_2023;censo_5a9_2022;censo_5a9_2023;censo_10a14_2022;censo_10a14_2023;censo_15a19_2022;censo_15a19_2023;censo_20a24_2022;censo_20a24_2023;censo_25a29_2022;censo_25a29_2023;censo_30a34_2022;censo_30a34_2023;censo_35a39_2022;censo_35a39_2023;censo_40a44_2022;censo_40a44_2023;censo_45a49_2022;censo_45a49_2023;censo_50a54_2022;censo_50a54_2023;censo_55a59_2022;censo_55a59_2023;censo_60a64_2022;censo_60a64_2023;censo_65a69_2022;censo_65a69_2023;censo_70a74_2022;censo_70a74_2023;censo_75a79_2022;censo_75a79_2023;censo_80a84_2022;censo_80a84_2023;censo_85a89_2022;censo_85a89_2023;censo_90a94_2022;censo_90a94_2023;censo_95a99_2022;censo_95a99_2023;censo_100_2022;censo_100_2023;censo_total_2022;censo_total_2023
Comunidad de Madrid;;Comunidad de Madrid;276482;269120;332967;330560;363387;367599;351922;366978;350099;372574;386115;407555;419675;435389;469777;464923;557490;546275;589165;597127;530767;542877;475774;489564;404355;414824;329292;339376;294621;298329;242182;253085;163563;166755;126476;126154;60725;63574;16353;17054;2067;2211;6743254;6871903
Zonas Estadísticas;01;Municipio de Madrid ;126754;124448;140055;140109;148131;150484;148191;154206;168043;180665;211135;228310;225573;239794;230201;231133;251418;248990;263776;265700;248071;251449;237398;241670;203075;209042;159728;165765;142940;143320;129764;132034;98450;98336;82107;80430;40185;41780;10691;11079;1341;1432;3267027;3340176
Zonas Estadísticas;02;Norte Metropolitano ;15904;15539;20953;20773;21907;22549;20783;21647;19599;20516;19009;19588;20144;20609;24751;24291;30483;30049;32365;33132;28131;29135;25051;25743;20379;21146;16233;16503;14418;14808;10413;11337;5998;6277;4171;4257;1932;2112;594;612;71;65;353289;360688
Zonas Estadísticas;03;Este Metropolitano  ;29600;28669;36348;36120;39893;40063;37091;39153;34032;35815;34623;35264;40687;41094;50149;48876;61200;59875;62835;63880;53619;54978;45971;47674;41222;41358;34894;36231;28228;29523;19376;20816;11189;11757;7671;7870;3444;3671;905;974;108;114;673085;683775
Zonas Estadísticas;04;Sur Metropolitano   ;56035;53278;71225;70105;78351;79217;72145;75490;65734;69437;65993;67417;75659;75393;93578;90545;121675;116947;124366;127502;103723;107246;84924;88531;75010;75297;70012;69942;67676;68221;51231;55281;28038;29610;17453;18172;7251;7748;1887;1970;260;286;1332226;1347635
Zonas Estadísticas;05;Oeste Metropolitano ;21691;21287;29019;28698;34849;34812;36493;37473;31648;33439;27058;28091;25372;26005;30008;29630;38033;37023;46378;46165;44705;45868;38850;40097;30366;31832;22888;23882;20729;21051;15638;16842;9250;9902;6434;6659;3339;3450;977;1046;145;144;513870;523396
Zonas Estadísticas;06;Sierra Norte        ;1786;1793;2432;2372;2610;2684;2353;2482;2182;2235;2019;2139;2336;2358;2963;2909;3978;3926;4469;4554;4096;4177;3548;3705;2768;2938;2213;2331;1742;1855;1430;1481;1030;1027;859;888;482;498;161;165;21;24;45478;46541
Zonas Estadísticas;07;Nordeste Comunidad  ;3054;3007;4170;4003;4957;4955;4491;4722;3694;3958;3330;3431;3889;4011;4897;4834;6566;6346;7244;7376;6305;6579;4834;5159;3585;3849;2546;2702;1979;2051;1447;1593;842;867;724;731;348;341;79;87;11;12;68992;70614
Zonas Estadísticas;08;Sudeste Comunidad   ;5225;5068;6353;6428;6956;6972;6399;6793;5562;5760;5510;5595;6852;6891;8542;8497;10488;10516;10491;10831;9127;9417;7904;8231;6806;7088;5134;5429;3971;4146;2994;3209;2125;2092;1785;1811;921;951;261;269;23;22;113429;116016
Zonas Estadísticas;09;Sudoeste Comunidad  ;8059;7792;10840;10659;11269;11623;9669;10269;7484;7938;6845;6891;8307;8146;11687;11407;15992;15685;15550;16395;12389;12945;9387;10065;7188;7525;5677;5948;4490;4710;3255;3469;2049;2157;1864;1873;1011;1105;309;324;28;37;153349;156963
