Serie;Codigo_municipio;Nombre;contratos_primario_indefinidos_2022;contratos_primario_indefinidos_2023;contratos_primario_temp_2022;contratos_primario_temp_2023;contratos_primario_total_2022;contratos_primario_total_2023;contratos_secundario_indefinidos_2022;contratos_secundario_indefinidos_2023;contratos_secundario_temp_2022;contratos_secundario_temp_2023;contratos_secundario_total_2022;contratos_secundario_total_2023;contratos_indefinidos_2022;contratos_indefinidos_2023;contratos_terciario_indefinidos_2022;contratos_terciario_indefinidos_2023;contratos_terciario_temp_2022;contratos_terciario_temp_2023;contratos_terciario_total_2022;contratos_terciario_total_2023;contratos_temp_2022;contratos_temp_2023;contratos_porcentaje_indefinidos_2022;contratos_porcentaje_indefinidos_2023;contratos_porcentaje_temp_2022;contratos_porcentaje_temp_2023;contratos_total_registrados_2022;contratos_total_registrados_2023
Comunidad de Madrid;;Comunidad de Madrid;3579;3500;4580;3335;8159;6835;144864;147188;124966;86823;269830;234011;1075628;1032501;927185;881813;1244885;1010490;2172070;1892303;1374431;1100648;43.90;48.40;56.10;51.60;2450059;2133149
Zonas Estadísticas;01;Municipio de Madrid ;1534;1603;2602;1478;4136;3081;72326;74090;46660;32251;118986;106341;699901;666176;626041;590483;798088;657690;1424129;1248173;847350;691419;45.24;49.07;54.76;50.93;1547251;1357595
Zonas Estadísticas;02;Norte Metropolitano ;92;123;101;162;193;285;9267;8901;10860;7264;20127;16165;60734;57355;51375;48331;70602;53526;121977;101857;81563;60952;42.68;48.48;57.32;51.52;142297;118307
Zonas Estadísticas;03;Este Metropolitano  ;79;144;150;79;229;223;17901;20173;21828;17607;39729;37780;73322;77781;55342;57464;92363;68494;147705;125958;114341;86180;39.07;47.44;60.93;52.56;187663;163961
Zonas Estadísticas;04;Sur Metropolitano   ;497;260;734;651;1231;911;27775;27154;28744;18126;56519;45280;122740;121260;94468;93846;169833;131144;264301;224990;199311;149921;38.11;44.72;61.89;55.28;322051;271181
Zonas Estadísticas;05;Oeste Metropolitano ;157;139;311;195;468;334;6316;5911;2863;1773;9179;7684;68204;61567;61731;55517;60961;53096;122692;108613;64135;55064;51.54;52.79;48.46;47.21;132339;116631
Zonas Estadísticas;06;Sierra Norte        ;49;37;53;15;102;52;788;890;2396;2031;3184;2921;5287;5560;4450;4633;6497;5534;10947;10167;8946;7580;37.15;42.31;62.85;57.69;14233;13140
Zonas Estadísticas;07;Nordeste Comunidad  ;31;51;23;24;54;75;1898;1950;5143;3572;7041;5522;6119;5971;4190;3970;10527;10698;14717;14668;15693;14294;28.05;29.46;71.95;70.54;21812;20265
Zonas Estadísticas;08;Sudeste Comunidad   ;710;715;400;483;1110;1198;2602;2197;3097;1992;5699;4189;8556;8463;5244;5551;8010;7065;13254;12616;11507;9540;42.65;47.01;57.35;52.99;20063;18003
Zonas Estadísticas;09;Sudoeste Comunidad  ;296;317;101;70;397;387;3658;3666;2102;1348;5760;5014;16283;15492;12329;11509;12560;10712;24889;22221;14763;12130;52.45;56.09;47.55;43.91;31046;27622
