Serie;Codigo_municipio;Nombre;paro_25_44_2022;paro_25_44_2023;paro_mayores_25_2022;paro_mayores_25_2023;paro_mayores_45_2022;paro_mayores_45_2023;paro_menores_25_2022;paro_menores_25_2023;paro_100_habitantes_2022;paro_100_habitantes_2023;paro_registrado_total_2022;paro_registrado_total_2023;porcentaje_paro_mayores_25_2022;porcentaje_paro_mayores_25_2023;porcentaje_paro_menores_25_2022;porcentaje_paro_menores_25_2023;variacion_paro_registrado_2022;variacion_paro_registrado_2023
Comunidad de Madrid;;Comunidad de Madrid;126654;113560;316216;291820;189562;178260;23007;23162;5.03;4.59;339223;314982;93.22;92.65;6.78;7.35;-23.19;-7.15
Zonas Estadísticas;01;Municipio de Madrid ;58938;54392;149239;138992;90301;84600;10172;10271;4.86;4.48;159411;149263;93.62;93.12;6.38;6.88;-25.66;-6.37
Zonas Estadísticas;02;Norte Metropolitano ;5156;4440;13224;11985;8068;7545;767;772;3.96;3.53;13991;12757;94.52;93.95;5.48;6.05;-22.93;-8.82
Zonas Estadísticas;03;Este Metropolitano  ;14486;12675;35481;32385;20995;19710;2917;2911;5.70;5.15;38398;35296;92.40;91.75;7.60;8.25;-20.32;-8.08
Zonas Estadísticas;04;Sur Metropolitano   ;30546;26582;71998;65587;41452;39005;6067;6114;5.88;5.33;78065;71701;92.23;91.47;7.77;8.53;-21.81;-8.15
Zonas Estadísticas;05;Oeste Metropolitano ;5736;5111;16564;15364;10828;10253;820;815;3.39;3.10;17384;16179;95.28;94.96;4.72;5.04;-21.22;-6.93
Zonas Estadísticas;06;Sierra Norte        ;841;770;2157;2125;1316;1355;132;121;5.05;4.83;2289;2246;94.23;94.61;5.77;5.39;-19.49;-1.88
Zonas Estadísticas;07;Nordeste Comunidad  ;1268;1120;3377;3090;2109;1970;234;271;5.24;4.77;3611;3361;93.52;91.94;6.48;8.06;-18.23;-6.92
Zonas Estadísticas;08;Sudeste Comunidad   ;2743;2405;6620;6083;3877;3678;520;535;6.32;5.71;7140;6618;92.72;91.92;7.28;8.08;-16.09;-7.31
Zonas Estadísticas;09;Sudoeste Comunidad  ;3051;2645;7057;6378;4006;3733;657;640;5.04;4.49;7714;7018;91.48;90.88;8.52;9.12;-17.98;-9.02
